ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),13.36,"O alerta indica que a cookie de sessão não tem o 'HttpOnly' flag definido, o que pode aumentar o risco de ataques XSS. No entanto, no contexto fornecido, a função `ServeHTTP` está lidando com a saída da sessão do usuário e removendo todas as cookies relacionadas à autenticação antes de redirecionar para uma URL de logout. Portanto, não há risco real de XSS nesse ponto específico do código.",1,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1001,121,0.00000000,N/A,
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.11,O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para configurar a solicitação de destino. O uso de `req.Header.Set(,2,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,455,65,0.00000000,N/A,
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.03,"O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para modificar a solicitação antes de encaminhá-la ao servidor de destino. A função `decorateDirector` é chamada para adicionar ou modificar cabeçalhos conforme necessário, e isso não remove headers adicionados pelo `Director`. O uso de `ModifyResponse` para manipular a resposta do servidor de destino é adequado neste contexto.",2,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,626,115,0.00000000,N/A,
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.46,"O código fornecido não configura explicitamente uma conexão gRPC insegura. A função `grpc.NewServer()` cria um servidor gRPC sem especificar credenciais, mas isso não significa que a conexão seja insegura. O alerta pode estar incorretamente identificando uma situação segura como potencialmente vulnerável.",2,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,438,90,0.00000000,N/A,
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.06,"O código fornecido não configura um servidor gRPC inseguro. Ele cria um servidor gRPC usando `grpc.NewServer()` sem especificar nenhuma credencial de segurança, o que é o comportamento padrão e não constitui uma vulnerabilidade. O alerta foi acionado por uma ferramenta que pode estar configurada para sinalizar a ausência de credenciais TLS em servidores gRPC, mas neste contexto específico, o código está criando um servidor seguro usando sockets Unix.",2,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,439,124,0.00000000,N/A,
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.46,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a insegurança é aceitável, como durante o desenvolvimento ou testes. O alerta foi acionado por uma ferramenta que considera qualquer desabilitação de verificação de certificados TLS/SSL como potencialmente perigosa, mas neste caso, a desativação ocorre apenas em um cenário controlado e não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,505,134,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.76,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a desativação da verificação de certificados é considerada aceitável, pois está sendo usada para fins de depuração ou em ambientes controlados e seguros. O alerta não indica uma vulnerabilidade real neste caso.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,517,104,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.55,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código está iniciando um servidor HTTP sem usar TLS. A função `http.ListenAndServe` não fornece criptografia, o que expõe os dados transmitidos ao público. Deve ser substituído por `http.ListenAndServeTLS` para garantir a segurança dos dados em trânsito.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,399,98,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.42,"O alerta indica a utilização de um servidor HTTP sem TLS, o que é uma prática insegura. No entanto, no contexto fornecido, o código está configurado para usar um servidor gRPC em vez de um servidor HTTP. O servidor gRPC usa TLS por padrão, conforme indicado pela linha `grpc := server.CreateGRPC()`. Portanto, este alerta não constitui uma vulnerabilidade real neste código.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1235,108,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.30,"O alerta indica que o código está usando um servidor HTTP sem TLS, mas a linha em questão (linha 151) não é responsável por iniciar um servidor HTTP. Em vez disso, ela inicia um servidor de métricas usando `http.ListenAndServe`, que é configurado para usar TLS através da variável de ambiente `metricsPort`. Portanto, o alerta está incorretamente sinalizando uma vulnerabilidade em um código que não possui essa vulnerabilidade.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1936,116,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.90,"O alerta indica que o código está usando um servidor HTTP sem TLS, sugerindo a substituição de `http.ListenAndServe` por `http.ListenAndServeTLS`. No entanto, no contexto fornecido, há uma verificação explícita para desabilitar o TLS (`if !disableTLS { ... }`). Se `disableTLS` for verdadeiro, o código não iniciará um servidor HTTP sem TLS. Portanto, este alerta é um FALSO POSITIVO porque a condição de desativação do TLS garante que o servidor HTTP seja iniciado com segurança.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,3299,138,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.43,"O código verifica se a verificação de certificado TLS/SSL está desabilitada e, em caso afirmativo, usa `insecure.NewCredentials()` para ignorar a verificação. No entanto, o código também verifica se a configuração `DisableTLS` é verdadeira antes de usar essa opção. Se `DisableTLS` for falso, a verificação de certificado TLS/SSL será realizada corretamente. Portanto, este código não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,678,120,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.38,"O código não desabilita a verificação de TLS/SSL explicitamente. Em vez disso, ele usa uma variável booleana `insecureRedis` para controlar se a verificação de TLS deve ser ignorada. Se `insecureRedis` for verdadeiro, o campo `InsecureSkipVerify` do objeto `tls.Config` é definido como `true`. No entanto, isso não desabilita a verificação de TLS globalmente, apenas para conexões específicas onde `insecureRedis` for verdadeiro.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1867,128,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.01,"O código verifica se o certificado do servidor DEX corresponde ao esperado. Embora `InsecureSkipVerify` esteja definido como `true`, isso ocorre apenas quando a verificação estrita está desativada (`!tlsConfig.StrictValidation`). Isso significa que, em casos normais de operação, a verificação TLS é realizada corretamente. Portanto, esta configuração não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,454,110,0.00000000,N/A,
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.73,"O código desabilita a verificação de chave do host SSH usando `ssh.InsecureIgnoreHostKey()`, o que expõe o sistema ao ataque man-in-the-middle. A ferramenta Semgrep corretoamente alerta sobre isso, pois ignorar a verificação de chave do host é uma prática insegura.",1,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,884,86,0.00000000,N/A,
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.94,"O alerta é um FALSO POSITIVO porque o código não configura explicitamente a versão mínima do TLS. O cliente HTTP criado usa `tls.Config{InsecureSkipVerify: true}`, que desativa a verificação de SSL/TLS, mas não define uma versão mínima para TLS. Isso é comumente usado em ambientes de desenvolvimento ou testes onde a segurança SSL/TLS não é um requisito crítico. No entanto, o código não viola diretamente as diretrizes de segurança recomendadas para produção, que sugerem usar TLS 1.3 como padrão.",13,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,596,149,0.00000000,N/A,
