ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.97,"O alerta indica que a cookie de sessão não tem o 'HttpOnly' flag definido, o que pode aumentar o risco de ataques XSS. No entanto, no contexto fornecido, a função `ServeHTTP` está lidando com a saída da sessão do usuário e removendo todas as cookies relacionadas à autenticação antes de redirecionar para uma URL de logout. Portanto, não há risco real de XSS nesse ponto específico do código.",1,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1001,121,0.00000000
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.11,O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para configurar a solicitação de destino. O uso de `req.Header.Set(,2,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,455,65,0.00000000
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.08,"O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para modificar a solicitação antes de encaminhá-la ao servidor de destino. A função `decorateDirector` é chamada para adicionar ou modificar cabeçalhos conforme necessário, e isso não remove headers adicionados pelo `Director`. O uso de `ModifyResponse` para manipular a resposta do servidor de destino é adequado neste contexto.",2,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,626,115,0.00000000
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.50,"O código fornecido não configura explicitamente uma conexão gRPC insegura. A função `grpc.NewServer()` cria um servidor gRPC sem especificar credenciais, mas isso não significa que a conexão seja insegura. O alerta pode estar incorretamente identificando uma situação segura como potencialmente vulnerável.",2,fallback,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,438,90,0.00000000
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.07,"O código fornecido não configura um servidor gRPC inseguro. Ele cria um servidor gRPC usando `grpc.NewServer()` sem especificar nenhuma credencial de segurança, o que é o comportamento padrão e não constitui uma vulnerabilidade. O alerta foi acionado por uma ferramenta que pode estar configurada para sinalizar a ausência de credenciais TLS em servidores gRPC, mas neste contexto específico, o código está criando um servidor seguro usando sockets Unix.",2,fallback,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,439,124,0.00000000
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.43,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a insegurança é aceitável, como durante o desenvolvimento ou testes. O alerta foi acionado por uma ferramenta que considera qualquer desabilitação de verificação de certificados TLS/SSL como potencialmente perigosa, mas neste caso, a desativação ocorre apenas em um cenário controlado e não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,505,134,0.00000000
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.71,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a desativação da verificação de certificados é considerada aceitável, pois está sendo usada para fins de depuração ou em ambientes controlados e seguros. O alerta não indica uma vulnerabilidade real neste caso.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,517,104,0.00000000
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.54,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código está iniciando um servidor HTTP sem usar TLS. A função `http.ListenAndServe` não fornece criptografia, o que expõe os dados transmitidos ao público. Deve ser substituído por `http.ListenAndServeTLS` para garantir a segurança dos dados em trânsito.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,399,98,0.00000000
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.36,"O alerta indica a utilização de um servidor HTTP sem TLS, o que é uma prática insegura. No entanto, no contexto fornecido, o código está configurado para usar um servidor gRPC em vez de um servidor HTTP. O servidor gRPC usa TLS por padrão, conforme indicado pela linha `grpc := server.CreateGRPC()`. Portanto, este alerta não constitui uma vulnerabilidade real neste código.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1235,108,0.00000000
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.24,"O alerta indica que o código está usando um servidor HTTP sem TLS, mas a linha em questão (linha 151) não é responsável por iniciar um servidor HTTP. Em vez disso, ela inicia um servidor de métricas usando `http.ListenAndServe`, que é configurado para usar TLS através da variável de ambiente `metricsPort`. Portanto, o alerta está incorretamente sinalizando uma vulnerabilidade em um código que não possui essa vulnerabilidade.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1936,116,0.00000000
