ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.74,"O cookie em questão é usado para autenticação, mas não é um token de sessão. É um token CSRF double-submit que precisa ser lido pelo front-end para reenvio em um header. A ausência do atributo HttpOnly é intencional e correta neste contexto.",1,especifica,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1496,77,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.75,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas redefine o Host, o esquema da URL e remove alguns cabeçalhos específicos (Authorization e Cookie). Além disso, ele adiciona cabeçalhos definidos pelo usuário através do parâmetro 'headers'. Como nenhum cabeçalho injetado é removido pelo cliente via Connection que possa alterar a decisão de segurança da origem, este código não constitui uma vulnerabilidade.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1082,126,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.18,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas modifica o caminho da URL e configura uma resposta em caso de erro interno, sem alterar cabeçalhos hop-by-hop.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1253,69,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.28,"O servidor gRPC está configurado para escutar em um socket Unix local, não em uma interface de rede acessível pela internet. Portanto, não há risco de um intermediário interceptar ou alterar as mensagens gRPC.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,945,66,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.79,"O servidor gRPC escuta em um socket Unix local, que não há caminho de rede entre as pontas. Portanto, não existe risco de um intermediário ler ou alterar as chamadas.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,946,60,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.44,"O uso de InsecureSkipVerify é condicionado a um parâmetro booleano 'insecure' que deve ser configurado explicitamente pelo usuário. Se 'insecure' for falso, o código não desativa a verificação do certificado TLS. Além disso, há uma configuração adicional para usar um cookie jar, o que sugere que este código pode ser usado em ambientes de teste ou desenvolvimento onde a segurança é menos crítica.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1088,113,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.26,"O uso de InsecureSkipVerify é condicionado a um parâmetro booleano 'insecure' que deve ser desligado por padrão em produção. Além disso, o código inclui uma verificação adicional para garantir que o certificado seja válido através da função VerifyPeerCertificate.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1100,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.57,"O servidor HTTP está sendo iniciado sem TLS em uma porta exposta à rede (webhookAddr). A rota /api/webhook pode ser usada para enviar dados sensíveis, como payloads de webhook. Portanto, a exposição desse servidor à rede sem criptografia é uma vulnerabilidade real.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,876,81,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.05,"O servidor HTTP em argocd_commit_server.go escuta apenas em loopback (listenHost = ""localhost"" ou listenPort = 0) e não expõe rotas sensíveis diretamente à rede. Além disso, o código inclui verificações de saúde e métricas, mas não transmite dados sensíveis em texto claro.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1712,89,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.50,"O servidor HTTP está sendo iniciado em '0.0.0.0:%d', o que significa que ele é exposto à rede. Além disso, a rota '/metrics' serve métricas sem TLS, o que pode levar à transmissão de informações sensíveis em texto claro.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2413,80,0.00000000,N/A,,alerta
