ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.57,"O código não cria cookies sensíveis sem o atributo HttpOnly. Ele apenas lê e exclui cookies que começam com um nome específico, mas não define novos cookies.",1,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1368,54,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.48,"O código não usa a função strconv.ParseInt nem realiza qualquer interpretação de entrada dependente de configuração implícita. Ele simplesmente analisa uma URL e configura um proxy reverso, sem reinterpretações de base numérica ou formatos específicos.",2,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,896,74,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.70,"O código não contém a fraqueza descrita (CWE-115 - Misinterpretation of Input). A função `strconv.ParseInt` é chamada com base explícita como 10, garantindo que a entrada seja sempre interpretada como decimal. Além disso, o código não realiza qualquer interpretação de entrada dependente de configuração implícita.",2,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1068,98,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.96,A entrada 'nil' não é controlada pelo usuário e o caminho de execução para a operação perigosa (RegisterCommitServiceServer) é inalcançável.,2,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,796,55,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.89,"A entrada 'path' é controlada pelo desenvolvedor e não por um agente externo. Ela é usada para configurar o servidor gRPC, mas não há qualquer validação ou sanitização aplicada a ela antes de ser utilizada.",2,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,797,70,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.15,"O código não transmite informações sensíveis em texto claro. Ele usa o esquema https:// para todas as chamadas HTTP, garantindo que os dados sejam cifrados durante a transmissão.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,914,59,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.26,"O código não transmite informações sensíveis em texto claro. A URL usada para criar o cliente Gitea é passada como parâmetro, permitindo que o usuário decida se a conexão deve ser segura (usando https://) ou insegura (usando http://). No entanto, o código verifica se a conexão deve ser insegura através do parâmetro 'insecure'. Se 'insecure' for verdadeiro, ele configura um cliente HTTP que desativa a verificação de certificado TLS. Caso contrário, usa o cliente HTTP padrão do Go. Portanto, se a URL fornecida começar com https://, a conexão será segura e os dados sensíveis não serão transmitidos em texto claro.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,926,177,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.12,"O código não transmite informações sensíveis em texto claro. A função `startWebhookServer` configura um servidor HTTP que escuta na endereço especificado por `webhookAddr`. O conteúdo transmitido pelo servidor é controlado pela função `webhookHandler.Handler`, que deve ser responsável por lidar com qualquer dado sensível de forma segura, como usando HTTPS para todas as comunicações. Como não há evidências do uso de HTTP em vez de HTTPS neste código, ele não caracteriza a fraqueza descrita.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,813,127,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.70,"O código não contém chamadas a funções HTTP que transmitam dados sensíveis em texto claro. Todas as chamadas HTTP usadas no código são feitas através de um servidor gRPC, que é uma comunicação segura baseada em protocolos binários e criptografados.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1650,78,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.25,O código não contém chamadas a funções HTTP que transmitam dados sensíveis em texto claro. Todas as chamadas HTTP usam o esquema 'https://' ou têm configurações de TLS configuradas para garantir a segurança da transmissão dos dados.,27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2350,73,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.39,"O código não contém chamadas a funções HTTP que transmitam dados sensíveis em texto claro. Todas as chamadas HTTP usadas no código são feitas com o esquema 'https://', garantindo que os dados sejam cifrados durante a transmissão.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,3713,75,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.99,"O código não transmite informações sensíveis em texto claro. Ele usa TLS para criptografar a comunicação, conforme indicado pela verificação de `tlsConfig.DisableTLS`. Se `DisableTLS` for falso, o código configura um `tls.Config` com certificados ou desativa a verificação de certificado dependendo da configuração de `StrictValidation`. Em ambos os casos, a comunicação é segura.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1087,108,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.22,"O código não contém chamadas a funções HTTP que transmitam dados sensíveis em texto claro. Todas as chamadas HTTP usam o esquema 'https://' ou têm verificações de TLS configuradas, garantindo que os dados sejam criptografados durante a transmissão.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2275,78,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.45,"O código não contém a fraqueza descrita. A função TLSConfig configura uma instância de tls.Config com base nas opções fornecidas no parâmetro tlsConfig. Ela verifica se o TLS deve ser desabilitado ou se a validação estrita do certificado deve ser ignorada, mas não envia dados sensíveis em texto claro.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,863,93,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.13,"A entrada 'repoURL' é uma string de entrada do usuário, mas não é usada diretamente em operações perigosas sem validação. O código verifica se a URL é SSH ou HTTPS e então processa as credenciais de acordo. Não há evidências de que esta entrada esteja sendo explorada ou manipulada de forma inadequada.",1,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1252,92,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.94,"O código não usa algoritmos criptográficos como MD5 ou SHA1, nem funções de hash que possam ser consideradas inseguras. Em vez disso, ele utiliza a biblioteca gitea.NewClient para criar um cliente HTTP seguro, configurando o TLSClientConfig para evitar verificação de certificado SSL quando necessário. Isso é seguro no contexto fornecido.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,829,99,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.81,"O código não usa diretamente algoritmos de hash como MD5 ou SHA1 para autenticação, assinatura, derivação de chave ou armazenamento de credencial. Em vez disso, ele configura um cliente HTTP com opções de segurança, incluindo a capacidade de ignorar verificações de TLS inseguras quando necessário. Este uso não constitui uma fraqueza em relação à CWE-327.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,841,110,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.56,"O código não usa diretamente algoritmos de hash como MD5 ou SHA1, nem cifras como DES ou RC4. Em vez disso, ele configura um objeto `tls.Config` para usar certificados de autoridade raiz (CA) especificados pelo usuário. Este uso é seguro no contexto de autenticação e comunicação segura via TLS/SSL.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,880,95,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#3,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.26,"O código não usa diretamente algoritmos criptográficos como MD5 ou SHA1. Em vez disso, ele configura uma conexão gRPC com opções de TLS/SSL, que é um uso seguro dessas tecnologias em contextos de comunicação segura.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1002,77,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#4,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.49,"O código não usa algoritmos criptográficos comprovadamente quebrados ou inadequados. Não há referências a crypto/md5, crypto/sha1 ou outras cifras consideradas inseguras em contextos de autenticação, assinatura, derivação de chave ou armazenamento de credencial.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2279,86,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#5,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.28,"O código não usa diretamente os algoritmos MD5 ou SHA1 para fins de autenticação, assinatura, derivação de chave ou armazenamento de credencial. Em vez disso, ele configura uma conexão com Redis usando TLS e opções de segurança apropriadas.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2190,80,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#6,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.51,"O código não usa algoritmos criptográficos comprovadamente quebrados ou inadequados. A função TLSConfig configura uma conexão TLS, verificando o certificado do servidor e ignorando a validação de certificados se necessário. Não há uso de md5, sha1 ou outras funções de hash consideradas inseguras neste contexto.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,778,93,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#7,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.65,"O código não usa diretamente os algoritmos MD5 ou SHA1, nem outras funções de hash consideradas inseguras. Em vez disso, ele utiliza a biblioteca Go padrão para HTTP e TLS, que são seguros para o uso em contextos de autenticação, assinatura e armazenamento de credenciais.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1152,90,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#8,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.59,"O código não usa diretamente algoritmos criptográficos como MD5 ou SHA1. Em vez disso, ele configura uma conexão TLS com a opção `InsecureSkipVerify` definida como `true`, o que significa que ele ignora verificações de certificado SSL/TLS. Isso é seguro neste contexto porque o código está testando se um servidor aceita conexões TLS, independentemente da validade do certificado. O uso de `InsecureSkipVerify` aqui não constitui uma fraqueza em relação à segurança criptográfica.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1054,137,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#9,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.94,"O código não usa algoritmos criptográficos comprovadamente quebrados ou inadequados. A função `newTLSConfig` configura um objeto `tls.Config` para uso de TLS, incluindo a verificação de certificados CA e a configuração de certificados cliente. Não há evidências de uso de algoritmos como MD5 ou SHA1 em contextos que exigem sigilo, integridade ou autenticação.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,894,112,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#10,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.67,"O código não usa diretamente md5 ou sha1, nem outras cifras consideradas inseguras. Em vez disso, ele utiliza o algoritmo de autenticação OAuth2 para obter um token de atualização. O uso do OAuth2 é uma prática recomendada e segura para a obtenção de tokens de acesso em contextos de autenticação.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1024,94,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#11,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.09,"O código não usa diretamente md5 ou sha1, nem outras cifras consideradas inseguras. Em vez disso, ele utiliza a função tlsutil.EncodeX509KeyPair para gerar uma chave TLS, que é um processo seguro e recomendado para configurações de segurança.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,734,79,0.00000000,N/A,,alerta
