ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.36,"O alerta indica uma possível vulnerabilidade de injeção de script (XSS) em um cookie, mas o contexto fornecido não aponta para tal vulnerabilidade. O código está removendo cookies específicos e redirecionando o usuário, sem evidências de manipulação ou armazenamento de dados maliciosos.",1,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,902,86,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.53,"O código não contém uma vulnerabilidade de segurança explícita. Ele cria um proxy reverso que redireciona solicitações HTTP para um destino especificado, removendo cabeçalhos potencialmente sensíveis como 'Authorization' e 'Cookie', e adicionando cabeçalhos personalizados conforme necessário. Este é um uso comum e seguro de proxies reversos.",2,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,403,97,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.50,"O alerta indica uma possível vulnerabilidade de injeção de cabeçalhos, mas o código não está exposto a essa vulnerabilidade. O `ModifyResponse` apenas modifica os cabeçalhos e o corpo da resposta em casos específicos (StatusCode == http.StatusInternalServerError), sem permitir que usuários externos alterem esses valores.",2,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,575,89,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.00,"O código apresentado não contém uma vulnerabilidade. A função `func() (bool, error) { return true, nil }` é usada para registrar um serviço de versão no gRPC server, e neste contexto específico, ela simplesmente retorna `true` sem realizar qualquer operação que possa ser considerada potencialmente perigosa ou insegura. Não há evidências de uso de credenciais, dados sensíveis ou outras práticas comuns associadas a vulnerabilidades de segurança.",2,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,323,123,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.78,"O alerta indica que o código está removendo um arquivo antes de iniciar um servidor gRPC. No entanto, a função `os.Remove(path)` é seguramente chamada para garantir que qualquer arquivo existente no caminho fornecido seja excluído antes de criar um novo socket Unix. Isso ajuda a evitar conflitos e problemas relacionados a arquivos já em uso. Portanto, este código não constitui uma vulnerabilidade.",2,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,324,112,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.04,"O código não apresenta uma vulnerabilidade real. Embora o uso de `InsecureSkipVerify: true` possa ser considerado inseguro em produção, neste contexto específico, a ferramenta de análise estática pode estar sinalizando um falso positivo. A função `NewGiteaService` é configurada para ignorar verificações de TLS apenas quando o parâmetro `insecure` for verdadeiro, o que é uma opção comum em ambientes de desenvolvimento ou teste onde a segurança TLS não é uma prioridade. Além disso, a ferramenta pode estar sinalizando um padrão comum em Go que é frequentemente usado para fins de testes e desenvolvimento.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,437,167,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.84,"O código não apresenta uma vulnerabilidade direta. Embora o uso de `InsecureSkipVerify: true` possa permitir conexões inseguras, isso é controlado pelo parâmetro `insecure`, que deve ser usado com cuidado em ambientes de produção. O alerta pode estar incorretamente sinalizando uma vulnerabilidade porque não há evidências concretas de uso indevido ou exposição desnecessária.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,449,109,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.92,"O código apresentado não contém uma vulnerabilidade direta. Ele inicia um servidor HTTP que escuta em uma endereço especificado e registra erros de inicialização, mas não há nenhuma operação que possa ser usada para executar comandos ou acessar recursos fora do contexto do servidor web. O uso de `os.Exit(1)` em caso de erro é considerado uma prática recomendada para encerrar o processo em casos de falha crítica.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,336,117,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.22,"O alerta não indica uma vulnerabilidade real neste código. A função `healthz.ServeHealthCheck` está sendo usada para verificar o status de saúde do servidor gRPC, mas ela não contém nenhuma lógica que possa ser explotada por um atacante. O uso de `localhost` no contexto da conexão interna é seguro e não representa uma exposição potencial.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1173,101,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.01,"O código não apresenta evidências de uma vulnerabilidade. A função `tls.LoadX509CertPool` é chamada dentro de um bloco condicional que verifica se a TLS está desabilitada ou se a validação estrita está ativada. Se ambas as condições forem verdadeiras, o carregamento do certificado não ocorrerá, evitando assim uma possível vulnerabilidade relacionada à manipulação de certificados.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1873,110,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.28,"O alerta não indica uma vulnerabilidade real neste código. O trecho de código parece estar configurando e iniciando um servidor gRPC para o ArgoCD Repository Server, sem evidências de injeção de código, execução remota ou outras vulnerabilidades comuns.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,3236,75,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.96,"O código não apresenta uma vulnerabilidade direta. A configuração de TLS é condicional e depende da variável `tlsConfig.DisableTLS`. Se `DisableTLS` for verdadeiro, o código usa `insecure.NewCredentials()`, que desativa a verificação de TLS. No entanto, se `DisableTLS` for falso, ele configura uma conexão segura com base nas opções fornecidas em `tlsConfig`. O alerta pode estar incorretamente sinalizando como uma vulnerabilidade porque não há evidências concretas de que o código esteja exposto a ataques específicos relacionados à segurança TLS nesse contexto.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,610,157,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.36,"O código não apresenta uma vulnerabilidade direta. Ele lida com a configuração de conexões Redis, incluindo TLS, autenticação e outras opções de segurança. O uso de variáveis de ambiente para armazenar credenciais e configurações adicionais é um padrão seguro em aplicações Go. A verificação de certificados TLS e a capacidade de ignorar a validação do certificado são controladas por flags, permitindo uma configuração flexível que pode ser ajustada conforme necessário.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1798,129,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.46,"O código implementa uma verificação de certificado TLS personalizada que compara o certificado do servidor com um valor esperado. Se os certificados não coincidirem, ele retorna um erro. Esta abordagem é segura porque garante que apenas certificados específicos sejam aceitos, evitando a conexão com servidores maliciosos.",27,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,386,93,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.20,"O código não apresenta evidências de vulnerabilidade. Ele lida com diferentes tipos de credenciais para autenticação, mas não há uso inseguro de dados sensíveis ou operações que possam levar a problemas de segurança.",1,fallback,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,773,67,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.92,"O código não apresenta uma vulnerabilidade real. Embora o uso de `InsecureSkipVerify: true` possa ser considerado inseguro em produção, neste contexto específico, a ferramenta de análise estática pode estar sinalizando um falso positivo. A função `NewGiteaService` é configurada para ignorar verificações de TLS apenas quando o parâmetro `insecure` for verdadeiro, o que é uma opção comum em ambientes de desenvolvimento ou teste onde a segurança TLS não é uma prioridade. Além disso, a ferramenta pode estar sinalizando um padrão comum em Go que é frequentemente usado para fins de testes e desenvolvimento.",13,especifica,baseline:597fcfa9,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,437,167,0.00000000,N/A,,alerta
