ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),17.93,"O código não define cookies. Ele itera sobre os cookies existentes no request, mas apenas remove o cookie de autenticação. Não cria novos cookies.",1,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1098,44,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.01,"O alerta indica uma preocupação válida em cenários onde um ReverseProxy pode remover cabeçalhos adicionados por um Director. No entanto, neste código, o Director está apenas configurando os cabeçalhos do request. Ele não remove nenhum cabeçalho existente. O uso de `req.Header.Del` para remover 'Authorization' e 'Cookie' demonstra que o objetivo é remover esses cabeçalhos específicos, não remover todos os cabeçalhos adicionados por um Director externo.",2,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,460,111,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.25,"O alerta indica uma preocupação com a remoção de cabeçalhos adicionados pelo Director. No entanto, o código demonstra que o `proxy.Director` é decorado usando `decorateDirector`, sugerindo que os cabeçalhos não são removidos, mas sim modificados ou adicionados. A função `decorateDirector` não está definida no trecho fornecido, mas a lógica sugere que ela serve para modificar o comportamento do Director sem remover os cabeçalhos.",2,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,669,107,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.34,"O alerta indica a ausência de credenciais de segurança para o servidor gRPC. No entanto, o código não demonstra a criação ou configuração de um servidor gRPC. A função `CreateGRPC` apenas inicializa um servidor gRPC básico sem configurar opções de segurança específicas.",2,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,436,70,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.30,"O código cria um servidor gRPC sem configurar credenciais de segurança (grpc.Creds() ou opções com credenciais). Isso permite conexões não criptografadas, tornando o tráfego vulnerável a interceptação e manipulação por atacantes.",2,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,437,67,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.60,O código habilita a verificação de certificado TLS como `false` quando o parâmetro `insecure` é verdadeiro. Isso permite ataques MTM (Man-in-the-Middle) pois evita a validação da autenticidade do servidor.,27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,505,64,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.59,O código explicitamente desabilita a verificação de certificados TLS usando `tr.TLSClientConfig = &tls.Config{InsecureSkipVerify: true}` quando o parâmetro `insecure` é verdadeiro. Isso torna o sistema vulnerável a ataques MITM (Man-in-the-Middle) pois permite que um atacante intercepte e modifique a comunicação sem ser detectado.,27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,516,96,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.90,"O código utiliza `http.ListenAndServe` para iniciar um servidor HTTP, o que expõe o servidor a ataques como interceptação de dados e man-in-the-middle sem criptografia TLS. A ferramenta está correta em recomendar o uso de `http.ListenAndServeTLS` para implementar criptografia TLS.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,390,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.54,"O código utiliza `http.ListenAndServe` para iniciar o servidor de métricas, mas isso é feito em uma goroutine separada. O foco principal do código é o servidor gRPC que usa `net.Listen` e `grpc.Serve`. A ferramenta está sinalizando incorretamente a ausência de TLS no servidor HTTP, que não é crítico para a funcionalidade principal do código.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1355,95,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.21,"O código utiliza `http.ListenAndServe` para iniciar um servidor de métricas, mas não é um servidor HTTP padrão. O alerta foi falso pois o contexto do código demonstra que o servidor está sendo usado apenas para exposições de métricas e não para comunicação HTTP geral.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2093,70,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),16.45,"O código utiliza `http.ListenAndServe` para iniciar o servidor HTTP, mas também define `disableTLS = false`. Isso indica que TLS é configurado para ser usado pelo servidor, então a mensagem de alerta é falsa.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,3659,60,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.65,"O código verifica se `tlsConfig.DisableTLS` é verdadeiro antes de desabilitar a verificação de certificados TLS. Isso indica que a desabilitação da verificação de certificados é intencional e controlada, não um bypass acidental.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,707,63,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),15.67,"O código permite desabilitar a verificação de certificados TLS (`insecureRedis`), mas isso é feito com base em uma configuração do usuário. A mensagem de alerta não leva em consideração o contexto, pois o código também fornece alternativas para configurar a verificação de certificados usando `redisCACertificate` ou os pools de certificados do sistema. Portanto, embora seja possível desabilitar a verificação de certificados, o código não faz isso por padrão e oferece mecanismos para garantir a segurança.",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2016,112,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.19,"O código verifica se `tlsConfig.StrictValidation` é falso antes de habilitar `InsecureSkipVerify`. Isso indica que a verificação TLS não é desabilitada por padrão, mas sim configurada como uma opção específica em casos onde `StrictValidation` é false. A verificação ainda é realizada com base no certificado fornecido pelo servidor e comparado com o certificado esperado (`tlsConfig.Certificate`).",27,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,442,96,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.53,"O código apresenta uma condição `if creds.insecure` que desabilita a verificação de chave de host apenas quando a variável `creds.insecure` é verdadeira. Isso indica que a verificação de chave de host está habilitada por padrão e pode ser desabilitada explicitamente, mitigando o risco de ataques man-in-the-middle.",1,fallback,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,957,90,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.77,"O código configura um cliente HTTP com `InsecureSkipVerify: true`, ignorando a verificação de certificados SSL. Embora isso seja uma prática insegura, o alerta se concentra na ausência de `MinVersion` em uma configuração TLS, que não é relevante neste caso pois a verificação de certificado está desabilitada.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,599,80,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.97,"O código configura um cliente HTTP com `InsecureSkipVerify: true`, indicando que a verificação de certificado SSL é desabilitada. Isso é uma prática insegura, mas o alerta se concentra na ausência de `MinVersion` no contexto de TLS, que não é aplicável aqui pois a verificação de certificado está completamente desativada.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,610,85,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.42,"O alerta indica a ausência de `MinVersion` no `tls.Config`, mas o código não configura diretamente um servidor TLS. A função `getTLSConfigWithCACert` apenas cria uma configuração TLS que pode ser usada posteriormente por outro componente, e não define explicitamente as versões TLS permitidas.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,648,76,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#3,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.44,"O alerta indica a ausência de `MinVersion` no TLS configuration. No entanto, o código utiliza `grpc.WithTransportCredentials(credentials.NewTLS(tlsC))`, que por padrão usa TLS 1.2 como versão mínima a partir do Go 1.22.  A falta explícita de configuração não significa necessariamente um problema, pois o comportamento padrão já atende a boas práticas.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,801,97,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#4,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),16.71,"O código demonstra a configuração de TLS com `tls.Config`, especificando `NextProtos` para http/1.1 e h2, indicando suporte a HTTP/2 para gRPC. A ausência explícita de `MinVersion` leva o Go 1.22 a usar TLS 1.2 por padrão, mas a configuração presente sugere que o objetivo é utilizar TLS 1.3 implicitamente através do uso de HTTP/2.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2306,107,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#5,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),15.17,"O código configura TLS usando `tlsConfig` quando `redisUseTLS` é verdadeiro. Embora o alerta sugira adicionar `MinVersion: tls.VersionTLS13`, a ausência dessa configuração não constitui uma vulnerabilidade, pois o código já define um `tls.Config`. A ferramenta está sinalizando um padrão comum, mas neste caso específico, o contexto demonstra que a segurança TLS está sendo abordada.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2110,98,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#6,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.80,"O alerta indica a ausência de `MinVersion` no TLS configuration. No entanto, o código não configura explicitamente um TLS configuration. A função `TLSConfig` retorna um `tls.Config` com configurações básicas, mas não define explicitamente a versão mínima TLS.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,536,69,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#7,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.78,"O alerta indica a ausência de `MinVersion` no `tls.Config`, mas o código utiliza `certutil.GetCertificateForConnect` para obter certificados do servidor, sugerindo que a verificação de versão TLS é feita dinamicamente durante a conexão.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,938,69,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#8,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.87,"O código não configura explicitamente a versão mínima TLS. A mensagem de alerta indica que `MinVersion` está faltando, mas o código usa `tls.Config{}`, que por padrão utiliza TLS 1.2 como versão mínima a partir do Go 1.22.  A ausência explícita de configuração não significa necessariamente uma vulnerabilidade.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,847,86,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#9,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.09,"O alerta indica a ausência de `MinVersion` no TLS config. No entanto, o código não configura explicitamente um TLS config. A função `newTLSConfig` apenas cria uma estrutura `tls.Config`, mas não a aplica ou utiliza em nenhum contexto.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,662,68,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#10,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.62,"O alerta indica a ausência de `MinVersion` no TLS configuration. No entanto, o código utiliza um `http.Client` para realizar uma requisição HTTP POST. A configuração do TLS é aplicada ao transporte HTTP, e não diretamente à requisição. Portanto, a falta de `MinVersion` neste contexto específico não representa uma vulnerabilidade.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,858,84,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#11,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.89,"O alerta indica a ausência de `MinVersion` no `tls.Config`, mas o código apenas configura `RootCAs`. Não há definição explícita da versão TLS utilizada.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,491,51,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#12,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.85,"O alerta indica a ausência de `MinVersion` no `tls.Config`, mas o código gera um certificado TLS usando `tls.LoadX509KeyPair`. A configuração do `tls.Config` é feita apenas para carregar o certificado, não para definir a versão mínima TLS. O Go 1.22 usa TLS 1.2 como padrão, então sem explicitamente definir a versão mínima, o comportamento padrão será usado.",13,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,845,104,0.00000000,N/A,,alerta
18ce5c27:CWE-338:false_positive,argoproj/argo-cd,CWE-338,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.65,"O alerta indica que `math/rand` não deve ser usado e `crypto/rand` deve ser usado em vez disso. No entanto, o código fornecido usa `math/rand` para gerar números aleatórios para fins de ordenação, o que não envolve criptografia ou segurança crítica. Portanto, a utilização de `math/rand` neste contexto específico não constitui uma vulnerabilidade.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,624,95,0.00000000,N/A,,alerta
18ce5c27:CWE-338:false_positive#1,argoproj/argo-cd,CWE-338,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.44,"O alerta indica que `math/rand` não deve ser usado e `crypto/rand` deve ser usado em vez disso. No entanto, o código fornecido usa `math/rand` para gerar números aleatórios para fins de simulação ou geração de dados, e não para criptografia ou segurança crítica. Portanto, neste contexto específico, o uso de `math/rand` não constitui uma vulnerabilidade.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,534,98,0.00000000,N/A,,alerta
18ce5c27:CWE-338:false_positive#2,argoproj/argo-cd,CWE-338,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.23,"O alerta indica o uso de `math/rand`, que é considerado inseguro para geração de números aleatórios criptograficamente seguros. No entanto, neste contexto específico, o código utiliza `uuid.New()` para gerar UUIDs, que são gerados usando um algoritmo criptograficamente seguro e não dependem de `math/rand`. Portanto, o alerta é falso positivo.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,615,91,0.00000000,N/A,,alerta
18ce5c27:CWE-352:false_positive,argoproj/argo-cd,CWE-352,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.71,"O alerta indica uma falta de verificação de origem no handshake WebSocket, mas o código utiliza `upgrader.Upgrade` que por padrão já realiza essa verificação.",1,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,523,47,0.00000000,N/A,,alerta
18ce5c27:CWE-377:false_positive,argoproj/argo-cd,CWE-377,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),13.34,"O código utiliza `os.WriteFile` para escrever arquivos de configuração TLS, mas o contexto indica que esses arquivos são usados apenas dentro do processo e não são compartilhados com outros processos ou usuários. A preocupação principal com a criação de arquivos temporários em diretórios compartilhados é a possibilidade de outros processos acessarem ou modificar esses arquivos, criando vulnerabilidades como race conditions ou injection. No entanto, neste caso específico, os arquivos TLS são usados apenas pelo processo ArgoCD Dex Server e não representam um risco de segurança.",1,fallback,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1391,121,0.00000000,N/A,,alerta
18ce5c27:CWE-400:false_positive,argoproj/argo-cd,CWE-400,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.52,"O código limita a quantidade de bytes lidos usando `io.LimitReader(gzr, maxSize)`, mitigando o risco de um ataque de zip bomb.",1,regra,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1054,47,0.00000000,N/A,,alerta
18ce5c27:CWE-470:false_positive,argoproj/argo-cd,CWE-470,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.52,"O código utiliza `reflect.ValueOf` para acessar campos conhecidos de um struct pré-definido (`resourceState`).  A lista de campos a serem atualizados é estática e conhecida no momento da compilação, eliminando o risco de injeção de dados que permitiria ao atacante controlar o fluxo de execução.",1,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,434,79,0.00000000,N/A,,alerta
18ce5c27:CWE-601:false_positive,argoproj/argo-cd,CWE-601,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.23,"O código não permite que a entrada do usuário construa diretamente o URL de redirecionamento. O URL de logout é construído com base em configurações pré-definidas e, se necessário, usa uma string de token fornecida pelo usuário apenas como parte de um parâmetro dentro do URL de logout definido no servidor.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1109,78,0.00000000,N/A,,alerta
18ce5c27:CWE-601:false_positive#1,argoproj/argo-cd,CWE-601,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.14,"O código utiliza `req.Host` diretamente na construção do URL de redirecionamento, tornando-o vulnerável a ataques de redirecionamento aberto. Um atacante poderia manipular o cabeçalho `Host` da requisição para apontar para um domínio malicioso.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,605,69,0.00000000,N/A,,alerta
18ce5c27:CWE-601:false_positive#2,argoproj/argo-cd,CWE-601,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.77,"O código verifica a validade do URL de redirecionamento (`return_url`) antes de realizar o redirecionamento. A função `isValidRedirectURL` compara o URL fornecido com uma lista permitida de URLs, mitigando o risco de redirecionamento aberto.",3,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,935,69,0.00000000,N/A,,alerta
18ce5c27:CWE-614:false_positive,argoproj/argo-cd,CWE-614,FP,ollama:gemma2:9b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.14,"O código não define cookies. Ele apenas itera sobre os cookies existentes no request e remove o cookie de autenticação, sem criar novos cookies.",2,especifica,baseline:597fcfa9,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1086,43,0.00000000,N/A,,alerta
