ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),13.02,"O código não está criando um cookie de sessão, então a ausência do atributo HttpOnly não é uma fraqueza. O cookie em questão parece ser usado para armazenar informações temporárias relacionadas à autenticação e logout, mas não contém dados sensíveis que precisariam ser protegidos contra acesso por scripts do lado do cliente.",1,especifica,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1364,93,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.04,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas redefine o Host, o esquema da URL e remove os cabeçalhos Authorization e Cookie. Além disso, ele adiciona cabeçalhos definidos no parâmetro headers, mas esses cabeçalhos não são removíveis pelo cliente via Connection.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,997,96,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.08,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas modifica o caminho da URL e configura uma resposta em caso de erro interno, sem alterar cabeçalhos hop-by-hop.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1169,69,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.94,"O servidor gRPC é configurado para escutar em um socket Unix local, não há rede entre as pontas, então não existe caminho de rede para um intermediário.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,797,53,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.70,"O servidor gRPC escuta em um socket Unix local, que não há caminho de rede entre as pontas. Portanto, não existe risco de intermediários lendo ou alterando as chamadas.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,798,60,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.73,"O código desativa a verificação de certificado TLS (InsecureSkipVerify: true) quando o parâmetro 'insecure' é verdadeiro. Isso significa que a conexão continua cifrada, mas sem autenticar o servidor, permitindo que um intermediário possa se passar por ele e ler ou alterar o tráfego. Este comportamento é considerado uma fraqueza de segurança (CWE-319) porque expõe informações sensíveis em transmissões não seguras.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,987,127,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.23,"O código desativa a verificação de certificado TLS (InsecureSkipVerify: true) quando o parâmetro 'insecure' é verdadeiro. Isso significa que a conexão continua cifrada, mas sem autenticar o servidor, permitindo que um intermediário possa se passar por ele e ler ou alterar o tráfego. Este comportamento é considerado uma fraqueza de segurança (CWE-319) porque expõe informações sensíveis em transmissões não seguras.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,999,127,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.51,"O servidor HTTP é iniciado com http.ListenAndServe sem TLS, o que significa que todas as comunicações, incluindo credenciais e cookies de sessão, serão transmitidas em texto claro. Isso expõe a API a riscos de interceptação se acessada diretamente pela rede.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,780,81,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.66,"O código expõe o servidor HTTP em uma porta pública (listenHost) sem TLS, o que significa que qualquer pessoa na rede pode acessar as rotas do servidor em texto claro. Isso inclui possíveis rotas sensíveis como login e dados de sessão.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1617,74,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.93,O código não expõe serviços sensíveis à rede em texto claro. Ele escuta apenas em loopback para métricas e não serve rotas com login ou dados sensíveis sem TLS.,27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2317,57,0.00000000,N/A,,alerta
