Estrato,ID_Caso,Repositorio,CWE,Gabarito,Tipo_Prompt,Veredito_LLM,Celula,Justificativa,Contexto,Eixo1_Fundamento,Eixo2_SeguroDeFato,Nota,Status_Classificacao
E-VP,TPA:mailpit:CWE-918:ProxyHandler:64a5036e:vuln,axllent/mailpit,CWE-918,vulneravel,baseline,VP,VP,O alerta é um VERDADEIRO POSITIVO (VP) porque o código permite que uma URL seja inserida pelo usuário (`r.URL.Query().Get(,"Alerta Semgrep: go.lang.security.injection.tainted-url-host.tainted-url-host
Mensagem: A request was found to be crafted from user-input `r`. This can lead to Server-Side Request Forgery (SSRF) vulnerabilities, potentially exposing sensitive data. It is recommend where possible to not allow user-input to craft the base request, but to be treated as part of the path or query parameter. When user-input is necessary to craft the request, it is recommended to follow OWASP best practices to prevent abuse, including using an allowlist.
Localização: linha 46

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: proxy.go | Linhas 21 a 115]
func ProxyHandler(w http.ResponseWriter, r *http.Request) {
	uri := strings.TrimSpace(r.URL.Query().Get(""url""))
	if uri == """" {
		logger.Log().Warn(""[proxy] URL missing"")
		httpError(w, ""Error: URL missing"")
		return
	}

	if !linkRe.MatchString(uri) {
		logger.Log().Warnf(""[proxy] invalid URL %s"", uri)
		httpError(w, ""Error: invalid URL"")
		return
	}

	tr := &http.Transport{}

	if config.AllowUntrustedTLS {
		tr.TLSClientConfig = &tls.Config{InsecureSkipVerify: true} // #nosec
	}

	client := &http.Client{
		Transport: tr,
		Timeout:   10 * time.Second,
	}

	req, err := http.NewRequest(""GET"", uri, nil)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	// use requesting useragent
	req.Header.Set(""User-Agent"", r.UserAgent())

	resp, err := client.Do(req)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	defer func() { _ = resp.Body.Close() }()

	body, err := io.ReadAll(resp.Body)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	// relay common headers
	if resp.Header.Get(""content-type"") != """" {
		w.Header().Set(""content-type"", resp.Header.Get(""content-type""))
	}
	if resp.Header.Get(""last-modified"") != """" {
		w.Header().Set(""last-modified"", resp.Header.Get(""last-modified""))
	}
	if resp.Header.Get(""content-disposition"") != """" {
		w.Header().Set(""content-disposition"", resp.Header.Get(""content-disposition""))
	}
	if resp.Header.Get(""cache-control"") != """" {
		w.Header().Set(""cache-control"", resp.Header.Get(""cache-control""))
	}

	// replace url() values with proxy address, eg: fonts & images
	if strings.HasPrefix(resp.Header.Get(""content-type""), ""text/css"") {
		var re = regexp.MustCompile(`(?mi)(url\((\'|\"")?([^\)\'\""]+)(\'|\"")?\))`)
		body = re.ReplaceAllFunc(body, func(s []byte) []byte {
			parts := re.FindStringSubmatch(string(s))

			// don't resolve inline `data:..`
			if strings.HasPrefix(parts[3], ""data:"") {
				return []byte(parts[3])
			}

			address, err := absoluteURL(parts[3], uri)
			if err != nil {
				logger.Log().Errorf(""[proxy] %s"", err.Error())
				return []byte(parts[3])
			}

			return []byte(""url("" + parts[2] + config.Webroot + ""proxy?url="" + url.QueryEscape(address) + parts[4] + "")"")
		})
	}

	logger.Log().Debugf(""[proxy] %s (%d)"", uri, resp.StatusCode)

	// relay status code - WriteHeader must come after Header.Set()
	w.WriteHeader(resp.StatusCode)

	if _, err := w.Write(body); err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
	}
}",,,,
E-VP,TPA:mailpit:CWE-918:ProxyHandler:64a5036e:vuln,axllent/mailpit,CWE-918,vulneravel,especialista,VP,VP,A entrada `uri` é controlada pelo cliente através de `r.URL.Query().Get(,"Alerta Semgrep: go.lang.security.injection.tainted-url-host.tainted-url-host
Mensagem: A request was found to be crafted from user-input `r`. This can lead to Server-Side Request Forgery (SSRF) vulnerabilities, potentially exposing sensitive data. It is recommend where possible to not allow user-input to craft the base request, but to be treated as part of the path or query parameter. When user-input is necessary to craft the request, it is recommended to follow OWASP best practices to prevent abuse, including using an allowlist.
Localização: linha 46

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: proxy.go | Linhas 21 a 115]
func ProxyHandler(w http.ResponseWriter, r *http.Request) {
	uri := strings.TrimSpace(r.URL.Query().Get(""url""))
	if uri == """" {
		logger.Log().Warn(""[proxy] URL missing"")
		httpError(w, ""Error: URL missing"")
		return
	}

	if !linkRe.MatchString(uri) {
		logger.Log().Warnf(""[proxy] invalid URL %s"", uri)
		httpError(w, ""Error: invalid URL"")
		return
	}

	tr := &http.Transport{}

	if config.AllowUntrustedTLS {
		tr.TLSClientConfig = &tls.Config{InsecureSkipVerify: true} // #nosec
	}

	client := &http.Client{
		Transport: tr,
		Timeout:   10 * time.Second,
	}

	req, err := http.NewRequest(""GET"", uri, nil)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	// use requesting useragent
	req.Header.Set(""User-Agent"", r.UserAgent())

	resp, err := client.Do(req)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	defer func() { _ = resp.Body.Close() }()

	body, err := io.ReadAll(resp.Body)
	if err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
		httpError(w, err.Error())
		return
	}

	// relay common headers
	if resp.Header.Get(""content-type"") != """" {
		w.Header().Set(""content-type"", resp.Header.Get(""content-type""))
	}
	if resp.Header.Get(""last-modified"") != """" {
		w.Header().Set(""last-modified"", resp.Header.Get(""last-modified""))
	}
	if resp.Header.Get(""content-disposition"") != """" {
		w.Header().Set(""content-disposition"", resp.Header.Get(""content-disposition""))
	}
	if resp.Header.Get(""cache-control"") != """" {
		w.Header().Set(""cache-control"", resp.Header.Get(""cache-control""))
	}

	// replace url() values with proxy address, eg: fonts & images
	if strings.HasPrefix(resp.Header.Get(""content-type""), ""text/css"") {
		var re = regexp.MustCompile(`(?mi)(url\((\'|\"")?([^\)\'\""]+)(\'|\"")?\))`)
		body = re.ReplaceAllFunc(body, func(s []byte) []byte {
			parts := re.FindStringSubmatch(string(s))

			// don't resolve inline `data:..`
			if strings.HasPrefix(parts[3], ""data:"") {
				return []byte(parts[3])
			}

			address, err := absoluteURL(parts[3], uri)
			if err != nil {
				logger.Log().Errorf(""[proxy] %s"", err.Error())
				return []byte(parts[3])
			}

			return []byte(""url("" + parts[2] + config.Webroot + ""proxy?url="" + url.QueryEscape(address) + parts[4] + "")"")
		})
	}

	logger.Log().Debugf(""[proxy] %s (%d)"", uri, resp.StatusCode)

	// relay status code - WriteHeader must come after Header.Set()
	w.WriteHeader(resp.StatusCode)

	if _, err := w.Write(body); err != nil {
		logger.Log().Warnf(""[proxy] %s"", err.Error())
	}
}",,,,
E-VP,TPA:nebula-mesh:CWE-614:HandleCallback:59e3155a:vuln,forgekeep/nebula-mesh,CWE-614,vulneravel,baseline,VP,VP,"O alerta é um VERDADEIRO POSITIVO (VP) porque a função `HandleLogin` está criando uma cookie de sessão (`oidcStateCookieName`) sem definir o sinalizador 'Secure'. Isso significa que a cookie pode ser transmitida em canais inseguros, como HTTP. Para mitigar isso, é necessário garantir que o sinalizador 'Secure' seja definido como 'true', conforme sugerido no alerta.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 113

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 105 a 123]
func (o *OIDC) HandleLogin(rw http.ResponseWriter, r *http.Request) {
	state, err := randomToken()
	if err != nil {
		o.logger.Error(""oidc state"", ""error"", err)
		http.Error(rw, ""internal error"", http.StatusInternalServerError)
		return
	}
	o.rememberState(state)
	http.SetCookie(rw, &http.Cookie{
		Name:     oidcStateCookieName,
		Value:    state,
		Path:     ""/"",
		HttpOnly: true,
		Secure:   o.cookieSecure,
		SameSite: http.SameSiteLaxMode,
		MaxAge:   int(oidcStateTTL.Seconds()),
	})
	http.Redirect(rw, r, o.oauth.AuthCodeURL(state), http.StatusSeeOther)
}",,,,
E-VP,TPA:nebula-mesh:CWE-614:HandleCallback:59e3155a:vuln,forgekeep/nebula-mesh,CWE-614,vulneravel,especialista,VP,VP,"O cookie de estado OIDC (oidcStateCookieName) é usado para armazenar um token de estado temporário durante o processo de autenticação. Este tipo de cookie geralmente contém informações sensíveis que devem ser protegidas contra a transmissão por conexões HTTP não seguras. Portanto, a ausência do atributo 'Secure' neste contexto constitui uma vulnerabilidade real.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 113

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 105 a 123]
func (o *OIDC) HandleLogin(rw http.ResponseWriter, r *http.Request) {
	state, err := randomToken()
	if err != nil {
		o.logger.Error(""oidc state"", ""error"", err)
		http.Error(rw, ""internal error"", http.StatusInternalServerError)
		return
	}
	o.rememberState(state)
	http.SetCookie(rw, &http.Cookie{
		Name:     oidcStateCookieName,
		Value:    state,
		Path:     ""/"",
		HttpOnly: true,
		Secure:   o.cookieSecure,
		SameSite: http.SameSiteLaxMode,
		MaxAge:   int(oidcStateTTL.Seconds()),
	})
	http.Redirect(rw, r, o.oauth.AuthCodeURL(state), http.StatusSeeOther)
}",,,,
E-VP,TPA:nebula-mesh:CWE-614:rememberState:59e3155a:vuln,forgekeep/nebula-mesh,CWE-614,vulneravel,baseline,VP,VP,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código não está definindo a flag 'Secure' para o cookie de sessão. A flag 'Secure' deve ser definida como 'true' para garantir que o cookie só seja enviado por conexões HTTPS, o que ajuda a proteger contra ataques de cookies em sessão via HTTP.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 113

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 105 a 123]
func (o *OIDC) HandleLogin(rw http.ResponseWriter, r *http.Request) {
	state, err := randomToken()
	if err != nil {
		o.logger.Error(""oidc state"", ""error"", err)
		http.Error(rw, ""internal error"", http.StatusInternalServerError)
		return
	}
	o.rememberState(state)
	http.SetCookie(rw, &http.Cookie{
		Name:     oidcStateCookieName,
		Value:    state,
		Path:     ""/"",
		HttpOnly: true,
		Secure:   o.cookieSecure,
		SameSite: http.SameSiteLaxMode,
		MaxAge:   int(oidcStateTTL.Seconds()),
	})
	http.Redirect(rw, r, o.oauth.AuthCodeURL(state), http.StatusSeeOther)
}",,,,
E-VP,TPA:nebula-mesh:CWE-614:rememberState:59e3155a:vuln,forgekeep/nebula-mesh,CWE-614,vulneravel,especialista,VP,VP,"O cookie de estado OIDC (oidcStateCookieName) é usado para armazenar um token de estado temporário durante o processo de autenticação. Este tipo de cookie geralmente contém informações sensíveis que devem ser protegidas contra a transmissão por conexões HTTP não seguras. Portanto, a ausência do atributo 'Secure' neste contexto constitui uma vulnerabilidade real.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 113

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 105 a 123]
func (o *OIDC) HandleLogin(rw http.ResponseWriter, r *http.Request) {
	state, err := randomToken()
	if err != nil {
		o.logger.Error(""oidc state"", ""error"", err)
		http.Error(rw, ""internal error"", http.StatusInternalServerError)
		return
	}
	o.rememberState(state)
	http.SetCookie(rw, &http.Cookie{
		Name:     oidcStateCookieName,
		Value:    state,
		Path:     ""/"",
		HttpOnly: true,
		Secure:   o.cookieSecure,
		SameSite: http.SameSiteLaxMode,
		MaxAge:   int(oidcStateTTL.Seconds()),
	})
	http.Redirect(rw, r, o.oauth.AuthCodeURL(state), http.StatusSeeOther)
}",,,,
E-FP,18ce5c27:CWE-614:false_positive#1,argoproj/argo-cd,CWE-614,seguro,baseline,VP,FP,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código não está configurando a bandeira 'Secure' para o cookie de sessão. A bandeira 'Secure' deve ser definida como 'true' para garantir que o cookie só seja transmitido por canais seguros, como HTTPS. No contexto fornecido, a variável `a.secureCookie` é usada para determinar se a bandeira 'Secure' deve ser definida, mas não há uma verificação explícita de seu valor ou garantia de que ele esteja sendo configurado corretamente.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 206

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 189 a 215]
func (a *ClientApp) generateAppState(returnURL string, w http.ResponseWriter) (string, error) {
	// According to the spec (https://www.rfc-editor.org/rfc/rfc6749#section-10.10), this must be guessable with
	// probability <= 2^(-128). The following call generates one of 52^24 random strings, ~= 2^136 possibilities.
	randStr, err := rand.String(24)
	if err != nil {
		return """", fmt.Errorf(""failed to generate app state: %w"", err)
	}
	if returnURL == """" {
		returnURL = a.baseHRef
	}
	cookieValue := fmt.Sprintf(""%s:%s"", randStr, returnURL)
	if encrypted, err := crypto.Encrypt([]byte(cookieValue), a.encryptionKey); err != nil {
		return """", err
	} else {
		cookieValue = hex.EncodeToString(encrypted)
	}

	http.SetCookie(w, &http.Cookie{
		Name:     common.StateCookieName,
		Value:    cookieValue,
		Expires:  time.Now().Add(common.StateCookieMaxAge),
		HttpOnly: true,
		SameSite: http.SameSiteLaxMode,
		Secure:   a.secureCookie,
	})
	return randStr, nil
}",,,,
E-FP,18ce5c27:CWE-614:false_positive#1,argoproj/argo-cd,CWE-614,seguro,especialista,VP,FP,"O cookie de estado (state) está sendo criado sem o atributo 'Secure', o que pode expor o valor sensível na rede em caso de conexões HTTP não cifradas. De acordo com a especificação RFC6749, este valor deve ser guessable com probabilidade <= 2^(-128), tornando-o um dado sensível.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 206

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: oidc.go | Linhas 189 a 215]
func (a *ClientApp) generateAppState(returnURL string, w http.ResponseWriter) (string, error) {
	// According to the spec (https://www.rfc-editor.org/rfc/rfc6749#section-10.10), this must be guessable with
	// probability <= 2^(-128). The following call generates one of 52^24 random strings, ~= 2^136 possibilities.
	randStr, err := rand.String(24)
	if err != nil {
		return """", fmt.Errorf(""failed to generate app state: %w"", err)
	}
	if returnURL == """" {
		returnURL = a.baseHRef
	}
	cookieValue := fmt.Sprintf(""%s:%s"", randStr, returnURL)
	if encrypted, err := crypto.Encrypt([]byte(cookieValue), a.encryptionKey); err != nil {
		return """", err
	} else {
		cookieValue = hex.EncodeToString(encrypted)
	}

	http.SetCookie(w, &http.Cookie{
		Name:     common.StateCookieName,
		Value:    cookieValue,
		Expires:  time.Now().Add(common.StateCookieMaxAge),
		HttpOnly: true,
		SameSite: http.SameSiteLaxMode,
		Secure:   a.secureCookie,
	})
	return randStr, nil
}",,,,
E-FP,1f40a88b:CWE-614:false_positive#1,beego/beego,CWE-614,seguro,baseline,VP,FP,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código não está configurando a bandeira 'Secure' para o cookie de sessão. Isso significa que o cookie pode ser enviado em conexões HTTP inseguras, o que expõe os dados do usuário a riscos de interceptação.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 214

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: session.go | Linhas 188 a 238]
func (manager *Manager) SessionStart(w http.ResponseWriter, r *http.Request) (session Store, err error) {
	sid, errs := manager.getSid(r)
	if errs != nil {
		return nil, errs
	}

	if sid != """" {
		exists, err := manager.provider.SessionExist(context.Background(), sid)
		if err != nil {
			return nil, err
		}
		if exists {
			return manager.provider.SessionRead(context.Background(), sid)
		}
	}

	// Generate a new session
	sid, errs = manager.sessionID()
	if errs != nil {
		return nil, errs
	}

	session, err = manager.provider.SessionRead(context.Background(), sid)
	if err != nil {
		return nil, err
	}
	cookie := &http.Cookie{
		Name:     manager.config.CookieName,
		Value:    url.QueryEscape(sid),
		Path:     ""/"",
		HttpOnly: !manager.config.DisableHTTPOnly,
		Secure:   manager.isSecure(r),
		Domain:   manager.config.Domain,
		SameSite: manager.config.CookieSameSite,
	}
	if manager.config.CookieLifeTime > 0 {
		cookie.MaxAge = manager.config.CookieLifeTime
		cookie.Expires = time.Now().Add(time.Duration(manager.config.CookieLifeTime) * time.Second)
	}
	if manager.config.EnableSetCookie {
		http.SetCookie(w, cookie)
	}
	r.AddCookie(cookie)

	if manager.config.EnableSidInHTTPHeader {
		r.Header.Set(manager.config.SessionNameInHTTPHeader, sid)
		w.Header().Set(manager.config.SessionNameInHTTPHeader, sid)
	}

	return
}",,,,
E-FP,1f40a88b:CWE-614:false_positive#1,beego/beego,CWE-614,seguro,especialista,VP,FP,"O cookie de sessão está sendo criado sem o atributo 'Secure', o que pode expor o valor sensível na rede em caso de conexões HTTP não cifradas.","Alerta Semgrep: go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure
Mensagem: A session cookie was detected without setting the 'Secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'Secure' flag by setting 'Secure' to 'true' in the Options struct.
Localização: linha 214

--- CÓDIGO FONTE RELEVANTE ---

[Arquivo: session.go | Linhas 188 a 238]
func (manager *Manager) SessionStart(w http.ResponseWriter, r *http.Request) (session Store, err error) {
	sid, errs := manager.getSid(r)
	if errs != nil {
		return nil, errs
	}

	if sid != """" {
		exists, err := manager.provider.SessionExist(context.Background(), sid)
		if err != nil {
			return nil, err
		}
		if exists {
			return manager.provider.SessionRead(context.Background(), sid)
		}
	}

	// Generate a new session
	sid, errs = manager.sessionID()
	if errs != nil {
		return nil, errs
	}

	session, err = manager.provider.SessionRead(context.Background(), sid)
	if err != nil {
		return nil, err
	}
	cookie := &http.Cookie{
		Name:     manager.config.CookieName,
		Value:    url.QueryEscape(sid),
		Path:     ""/"",
		HttpOnly: !manager.config.DisableHTTPOnly,
		Secure:   manager.isSecure(r),
		Domain:   manager.config.Domain,
		SameSite: manager.config.CookieSameSite,
	}
	if manager.config.CookieLifeTime > 0 {
		cookie.MaxAge = manager.config.CookieLifeTime
		cookie.Expires = time.Now().Add(time.Duration(manager.config.CookieLifeTime) * time.Second)
	}
	if manager.config.EnableSetCookie {
		http.SetCookie(w, cookie)
	}
	r.AddCookie(cookie)

	if manager.config.EnableSidInHTTPHeader {
		r.Header.Set(manager.config.SessionNameInHTTPHeader, sid)
		w.Header().Set(manager.config.SessionNameInHTTPHeader, sid)
	}

	return
}",,,,
