ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.67,"O código não cria cookies sensíveis sem o atributo HttpOnly. Ele apenas lê cookies existentes e os exclui, ou redireciona para uma URL de logout.",1,especifica,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1421,54,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.18,"O código injeta cabeçalhos que podem ser removidos pelo cliente via Connection, o que pode levar à misinterpretação da requisição na origem.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1054,53,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.07,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas modifica o caminho da URL e configura uma resposta em caso de erro interno, sem alterar cabeçalhos hop-by-hop.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1226,69,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.48,"O servidor gRPC é criado com grpc.NewServer sem grpc.Creds, o que significa que não há TLS configurado. Isso expõe as mensagens de comunicação em texto puro na rede, permitindo que qualquer intermediário leia e altere essas mensagens.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,854,77,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.67,"O servidor gRPC escuta em um socket Unix local, que não há caminho de rede entre as pontas. Portanto, não existe risco de intermediários lerem ou alterar as chamadas.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,855,60,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.70,"O código desativa a verificação de certificado TLS (InsecureSkipVerify: true) quando o parâmetro 'insecure' é verdadeiro. Isso significa que a conexão continua cifrada, mas sem autenticar o servidor, permitindo que um intermediário possa se passar por ele e ler ou alterar o tráfego. Este comportamento é considerado uma fraqueza de segurança (CWE-319) porque transmite informações sensíveis em um contexto não seguro.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1044,124,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.21,"O código desativa a verificação de certificado TLS (InsecureSkipVerify: true) quando o parâmetro 'insecure' é verdadeiro. Isso significa que a conexão continua cifrada, mas sem autenticar o servidor, permitindo que um intermediário possa se passar por ele e ler ou alterar o tráfego. Este comportamento é considerado uma fraqueza de segurança (CWE-319) porque expõe informações sensíveis em transmissões não seguras.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1056,127,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.79,"O servidor HTTP é iniciado com http.ListenAndServe sem TLS, o que significa que todas as comunicações, incluindo credenciais e cookies de sessão, serão transmitidas em texto claro. A rota /api/webhook pode ser acessada diretamente pela rede, o que expõe os dados sensíveis a possíveis interceptações.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,837,90,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.79,"O código expõe o servidor HTTP em uma porta pública (listenHost) sem TLS, o que significa que qualquer pessoa na rede pode acessar as rotas do servidor em texto claro. Isso inclui possíveis rotas sensíveis como login ou endpoints que lidam com dados confidenciais.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1674,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.56,"O código não expõe serviços sensíveis diretamente à rede. Ele escuta apenas em loopback (`0.0.0.0:%d`) para métricas, que é seguro neste contexto. Além disso, o servidor HTTP usado para métricas não serve rotas com login ou dados sensíveis.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2374,83,0.00000000,N/A,,alerta
