ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.03,"O código não contém evidências de vulnerabilidades de segurança explícitas. Ele lida com a autenticação e logout de usuários, mas não apresenta problemas conhecidos como injeção SQL, XSS, CSRF ou outros riscos comuns.",1,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,868,72,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.52,"O código não contém uma vulnerabilidade de segurança explícita. Ele cria um proxy reverso que redireciona solicitações para um URL de destino especificado, removendo cabeçalhos potencialmente sensíveis como 'Authorization' e 'Cookie', e adicionando cabeçalhos personalizados conforme necessário. Este código é seguro no contexto em que está sendo usado.",2,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,369,97,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.33,"O código não apresenta evidências de vulnerabilidades de segurança explícitas. Ele cria um proxy reverso HTTP que manipula respostas de erro, mas não há indicações de injeção de código, cross-site scripting (XSS), ataques de força bruta ou outras ameaças comuns.",2,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,541,83,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.24,"O código não contém uma vulnerabilidade de segurança explícita. Ele cria um servidor gRPC, registra serviços e retorna o servidor configurado. Não há evidências de injeção de dependência, uso inadequado de autenticação ou autorização, ou qualquer outra prática comum que possa levar a vulnerabilidades.",2,fallback,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,289,88,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.23,"O código não contém uma vulnerabilidade de segurança explícita. Ele remove um arquivo existente, cria um socket Unix para gRPC e inicia o servidor gRPC em segundo plano. Não há evidências de uso inadequado de permissões, manipulação de entradas do usuário ou outras práticas potencialmente seguras.",2,fallback,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,290,87,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.11,"O código não contém uma vulnerabilidade de segurança explícita. Ele verifica se o token foi fornecido, caso contrário, usa um valor do ambiente. Além disso, ele configura um cliente HTTP com opções seguras para conexões inseguras apenas quando necessário.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,403,76,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.30,"O código não contém uma vulnerabilidade de segurança explícita. Ele verifica se o token foi fornecido, caso contrário, usa um valor do ambiente. Além disso, ele configura um cliente HTTP com opções seguras, incluindo a verificação de TLS e a criação de um cookie jar seguro.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,415,85,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.97,"O código não apresenta evidências de vulnerabilidades de segurança explícitas. Ele inicia um servidor HTTP que lida com requisições webhooks, mas não há indicação de uso de funções ou métodos potencialmente perigosos sem validação adequada.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,302,75,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.15,O código não contém uma vulnerabilidade de segurança explícita. Ele configura um servidor gRPC que escuta em uma porta especificada e realiza verificações de saúde usando uma conexão local para um cliente gRPC. Essa abordagem é segura desde que as portas e endereços sejam configurados corretamente e não expostos desnecessariamente à internet.,27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1139,99,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.90,"O código não contém evidências de vulnerabilidades de segurança explícitas. Ele lida com configurações de TLS, mas não mostra práticas inseguras ou abusos conhecidos.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1839,59,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.67,"O código não apresenta evidências de vulnerabilidades de segurança significativas. Ele configura um servidor gRPC, lida com solicitações HTTP e gRPC, e realiza operações relacionadas a cache, TLS e métricas. Não há indicação de injeção de SQL, XSS, ataques de força bruta ou outras vulnerabilidades comuns.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,3202,94,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.53,"O código não contém uma vulnerabilidade de segurança explícita. Ele configura uma conexão gRPC com opções de retry, timeout e TLS conforme solicitado. A verificação de TLS é condicional e depende das configurações fornecidas no parâmetro `tlsConfig`. Se `DisableTLS` for verdadeiro, a conexão será feita sem TLS (`insecure.NewCredentials()`). Caso contrário, a conexão será segura com as opções de TLS configuradas. Não há evidências de uma vulnerabilidade explícita neste código.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,576,136,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.27,"O código não contém uma vulnerabilidade de segurança explícita. Ele lida com configurações de conexão a um servidor Redis, incluindo TLS, autenticação e certificados, mas não há evidências de injeção de SQL, XSS, CSRF ou outras vulnerabilidades comuns.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1764,81,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.77,"O código não contém uma vulnerabilidade de segurança explícita. Ele verifica se o certificado do servidor DEX corresponde ao esperado, o que ajuda a prevenir ataques de man-in-the-middle.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,352,62,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.31,"O código não contém evidências de vulnerabilidades de segurança explícitas. Ele lida com diferentes tipos de credenciais para autenticação, mas não há uso de métodos inseguros ou funções que possam ser exploradas por um atacante.",1,fallback,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,739,74,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.12,"O código não contém uma vulnerabilidade de segurança explícita. Ele verifica se o token foi fornecido, caso contrário, usa um valor do ambiente. Além disso, ele configura um cliente HTTP com opções seguras, verificando a validade dos certificados TLS e ignorando apenas em modo inseguro.",13,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,403,87,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.37,"O código não contém uma vulnerabilidade de segurança explícita. Ele verifica se o token foi fornecido, caso contrário, usa um valor do ambiente. Além disso, ele configura um cliente HTTP com opções seguras, incluindo a verificação de TLS e a criação de um cookie jar. Essas medidas ajudam a garantir que a conexão seja segura.",13,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,415,100,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.82,"O código não contém uma vulnerabilidade de segurança explícita. Ele lida corretamente com o caminho do arquivo CA, verifica sua existência e lê seu conteúdo, caso exista. Em seguida, ele adiciona os certificados ao pool de certificados raiz e configura a estrutura TLS correspondente. Não há evidências de injeção de código, manipulação de entradas ou outras vulnerabilidades conhecidas.",13,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,454,110,0.00000000,N/A,,alerta
