ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),TP,False Positive (Ruído Mantido),11.21,"O código itera sobre os cookies recebidos e, para aqueles que correspondem ao nome do cookie de autenticação, ele cria um novo cookie com o mesmo nome, mas com um valor vazio. Este novo cookie é então adicionado ao cabeçalho de resposta HTTP usando `w.Header().Add(""Set-Cookie"", argocdCookie.String())`. Crucialmente, ao criar o `http.Cookie` (`argocdCookie`), o campo `HttpOnly` não é explicitamente definido como `true`. Por padrão, o `HttpOnly` é `false` para `http.Cookie` em Go. Portanto, o cookie de autenticação está sendo enviado de volta ao cliente sem a flag `HttpOnly`, o que o torna vulnerável a ataques XSS, conforme descrito na diretriz. Não há sanitização ou mitigação explícita para a ausência da flag `HttpOnly` neste trecho de código."
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,True Negative (Acerto),8.56,"O alerta indica que o `ReverseProxy.Director` pode remover headers adicionados. No entanto, a função `Director` neste código está sendo usada para *adicionar* headers (`req.Header.Set`) e remover headers específicos (`Authorization`, `Cookie`) que podem ser sensíveis ou indesejados no proxy reverso. Não há evidência de que headers adicionados pelo `Director` estejam sendo removidos de forma insegura ou que a sanitização esteja sendo ignorada. A diretriz sugere verificar se a variável vulnerável atinge o 'Sink' sem sanitização. Neste caso, os headers são definidos explicitamente e não há um 'Sink' inseguro sendo atingido. A recomendação de usar `ReverseProxy.Rewrite` é uma melhoria de design, mas a implementação atual do `Director` não demonstra uma vulnerabilidade de segurança direta (TP) sob a ótica da CWE-115."
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),TP,False Positive (Ruído Mantido),7.64,"O código cria um servidor gRPC usando `grpc.NewServer()` sem configurar nenhuma opção de credenciais (como `grpc.Creds()` ou `credentials.NewServerTLSFromFile`). Isso significa que o servidor gRPC será iniciado sem criptografia TLS, permitindo conexões inseguras. A mensagem do alerta Semgrep descreve precisamente essa vulnerabilidade, indicando que um atacante pode interceptar e manipular mensagens gRPC. Não há nenhuma sanitização ou mitigação visível no trecho de código fornecido que aborde a falta de criptografia."
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),TP,False Positive (Ruído Mantido),8.16,"O código desabilita a verificação de certificados TLS/SSL ao definir `InsecureSkipVerify: true` na configuração TLS do cliente HTTP. Isso é explicitamente mencionado como uma vulnerabilidade a ataques Man-in-the-Middle (MitM) e deve ser usado apenas para depuração. A diretriz CWE-319 se aplica, pois informações sensíveis podem ser transmitidas em um canal inseguro se este código for utilizado em produção sem as devidas precauções."
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),TP,False Positive (Ruído Mantido),8.03,"O código permite a configuração de `auth.HostKeyCallback = ssh.InsecureIgnoreHostKey()` quando `creds.insecure` é verdadeiro. Isso desabilita a verificação da chave do host SSH, permitindo ataques Man-in-the-Middle (MitM), pois a identidade do servidor SSH não é verificada. A diretriz CWE-322 se aplica pois a troca de chaves (implícita na conexão SSH) ocorre sem autenticação da entidade (o servidor SSH)."
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,gemini-2.5-flash-lite,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),TP,False Positive (Ruído Mantido),8.91,"O código configura um cliente HTTP para interagir com a API do Gitea. Quando o parâmetro 'insecure' é verdadeiro, ele cria uma configuração TLS personalizada (`tls.Config`) onde `InsecureSkipVerify` é definido como `true`. Isso desabilita a verificação do certificado do servidor, tornando a comunicação vulnerável a ataques man-in-the-middle. Além disso, a configuração TLS não especifica uma versão mínima (`MinVersion`), o que, conforme a mensagem do alerta, pode levar ao uso de versões TLS inseguras por padrão em versões mais antigas do Go. A ausência de verificação de certificado e a falta de configuração explícita de `MinVersion` representam um risco de segurança real."
gitops-engine:CWE-200:NormalizeSecret:vuln,argoproj/gitops-engine,CWE-200,TP_ouro,gemini-2.5-flash-lite,especialista,vulneravel,NAO_DETECTADO,Semgrep FN (ponto cego simbólico),N/A,N/A (Semgrep nao detectou),6.70,Semgrep nao emitiu alerta para esta CWE (cobertura simbolica).
gitops-engine:CWE-200:NormalizeSecret:fix,argoproj/gitops-engine,CWE-200,TP_ouro,gemini-2.5-flash-lite,especialista,seguro,NAO_DETECTADO,Semgrep VN (silêncio correto),N/A,N/A (Semgrep nao detectou),6.41,Semgrep nao emitiu alerta para esta CWE (cobertura simbolica).
chall-manager:CWE-405:copyTo:vuln,ctfer-io/chall-manager,CWE-405,TP_ouro,gemini-2.5-flash-lite,especialista,vulneravel,NAO_DETECTADO,Semgrep FN (ponto cego simbólico),N/A,N/A (Semgrep nao detectou),6.16,Semgrep nao emitiu alerta para esta CWE (cobertura simbolica).
chall-manager:CWE-405:copyTo:fix,ctfer-io/chall-manager,CWE-405,TP_ouro,gemini-2.5-flash-lite,especialista,seguro,NAO_DETECTADO,Semgrep VN (silêncio correto),N/A,N/A (Semgrep nao detectou),6.12,Semgrep nao emitiu alerta para esta CWE (cobertura simbolica).
