ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),17.43,"O código não define cookies de sessão. Ele processa cookies existentes, mas não cria novos com informações sensíveis como identificadores de sessão.",1,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1465,42,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.46,"O código não demonstra interpretação incorreta de entrada. A função `url.Parse` é utilizada para analisar a URL fornecida, e o resultado é usado para configurar os headers do proxy. Não há parsing de strings com base 0 ou inferência de bases numéricas como no exemplo CWE-115.",2,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,871,78,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.16,"O código utiliza strconv.Itoa para converter um inteiro (ContentLength) para string, sem inferência de base numérica. Não há interpretação incorreta de entrada como descrito no CWE-115.",2,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1081,56,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.90,"O código configura um servidor gRPC, registrando serviços. Não há entrada externa (como r.URL.Query, r.FormValue) que seja utilizada em operações perigosas sem validação ou sanitização. A lógica é interna e não recebe dados controlados por agentes externos.",2,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,760,72,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.11,"O código remove um arquivo antes de iniciar o servidor gRPC. A remoção do arquivo é uma ação interna, não influenciada por entradas externas como URLs ou variáveis de ambiente. Portanto, não há vulnerabilidade de CWE-300 nesse contexto.",2,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,761,66,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.70,"O código utiliza o ambiente para definir a URL do Gitea. Não há envio de dados sensíveis (token, credenciais) em texto claro via http://. A utilização de https:// é implícita na definição da API do Gitea.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,902,66,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.96,"O código utiliza o ambiente para definir a segurança da conexão. A verificação de 'insecure' define se o TLS será ignorado, mas não envia dados sensíveis em texto claro. O uso do token GITEA_TOKEN e a criação do cliente Gitea são independentes da configuração de segurança.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,913,77,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.02,O código não demonstra transmissão de dados sensíveis em texto claro. Ele configura um servidor web com `http.ListenAndServe` mas não há exemplos de chamadas a APIs externas que transportam dados confidenciais como credenciais ou tokens de autenticação.,27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,784,66,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.60,"O código não transmite dados sensíveis em texto claro. Ele utiliza o protocolo gRPC para comunicação, que é criptografado por padrão.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1750,42,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.66,"O código não contém chamadas HTTP com esquema http:// para transmissão de dados sensíveis. Todas as interações com o servidor Argo CD utilizam https://, garantindo a criptografia do tráfego.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2487,56,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),14.78,"O código não utiliza http:// para realizar chamadas. As chamadas utilizam https://, o que implica em criptografia do tráfego.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,4053,44,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.29,"O código estabelece uma conexão gRPC utilizando TLS se o parâmetro `tlsConfig` estiver configurado para usar TLS. A verificação de certificados é realizada caso `tlsConfig.StrictValidation` seja verdadeiro, garantindo a segurança da comunicação.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1104,64,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),14.70,"O código não transmite dados sensíveis (credenciais, tokens de autenticação ou dados pessoais) em texto claro. Ele utiliza variáveis de ambiente para armazenar informações como senhas e nomes de usuário, mas essas informações não são transmitidas diretamente por chamadas HTTP. Além disso, o código permite a configuração de TLS para conexões com o Redis, garantindo a criptografia dos dados durante a transmissão.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2412,96,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.84,"O código não transmite informações sensíveis em texto claro. Ele configura um TLS com verificação de certificado, garantindo a segurança da comunicação.",27,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,839,42,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),10.96,"A entrada `creds` é recebida como um parâmetro da função `newAuth`, não de uma fonte externa como requisições HTTP. A validação e sanitização dos dados de autenticação são responsabilidades do código que chama a função `newAuth`. O contexto sugere que os dados de credenciais são fornecidos por mecanismos internos, tornando o código seguro neste contexto específico.",1,fallback,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1283,92,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.26,"O código utiliza o pacote `crypto/tls` para configurar um cliente HTTP seguro. Não há uso de algoritmos criptográficos como MD5 ou SHA1 em contextos de autenticação, assinatura ou armazenamento de credenciais.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,807,58,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.04,"O código utiliza o pacote `http` para comunicação com a API do Gitea. Não há uso de algoritmos criptográficos como MD5 ou SHA1 em contextos de autenticação, assinatura ou armazenamento de credenciais. O uso de `tls.Config{InsecureSkipVerify: true}` indica uma configuração insegura para HTTPS, mas não está relacionado à utilização de algoritmos criptográficos vulneráveis.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,818,96,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.46,"O código utiliza o pacote `x509` para manipulação de certificados TLS, não algoritmos criptográficos como MD5 ou SHA1. A função `getTLSConfigWithCACert` configura um pool de certificados e os usa para validação de conexões TLS, sem envolver diretamente a criação de hashes com algoritmos considerados inseguros.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,855,85,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#3,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.39,"O código utiliza TLS para comunicação segura. A presença de `crypto` não indica necessariamente o uso de algoritmos criptográficos inadequados, pois a biblioteca pode ser usada para diversas finalidades como geração de chaves ou assinaturas digitais seguras.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1009,62,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#4,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.10,"O código fornecido não utiliza algoritmos criptográficos como MD5 ou SHA1 para autenticação, assinatura ou armazenamento de credenciais. A análise se concentra na utilização desses algoritmos em contextos sensíveis à segurança, e o trecho apresentado não os utiliza.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2513,65,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#5,argoproj/argo-cd,CWE-327,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.35,"O código não utiliza algoritmos criptográficos como MD5 ou SHA1 para autenticação, assinatura ou armazenamento de credenciais. Ele usa TLS para comunicação segura com o Redis, incluindo a verificação de certificados.",13,especifica,especialista_direto:f537598a,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2317,56,0.00000000,N/A,,alerta
