ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),12.16,"O cookie em questão é usado para autenticação, mas não é um token CSRF. É um cookie de sessão que precisa ser acessível pelo front-end para continuar a interação com o aplicativo após o logout. A ausência do atributo HttpOnly nesse contexto é intencional e correta.",1,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1401,81,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.54,"O código não usa a função strconv.ParseInt nem realiza qualquer interpretação de entrada dependente de configuração implícita. A função url.Parse é usada para analisar uma URL, que não envolve a reinterpretação de bases numéricas ou formatos específicos da entrada.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,929,80,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.77,"O código não apresenta uma interpretação incorreta de entrada. A função `strconv.ParseInt` é chamada com base explícita como 10, garantindo que a entrada seja sempre interpretada como decimal. Além disso, o contexto do código não envolve a manipulação de números inteiros em diferentes bases, então não há risco de reinterpretação de prefixos octal ou hexadecimal.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1101,104,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.05,"A entrada 'true' retornada pela função anônima não é controlável por um agente externo. É uma constante de valor booleano, portanto, não constitui uma vulnerabilidade.",2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,829,59,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.91,"A entrada 'path' é controlada pelo desenvolvedor e não por um agente externo. Ela é usada para configurar o servidor gRPC, mas não há qualquer operação perigosa que possa ser influenciada por essa entrada.",2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,830,71,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.12,"O código não envia dados sensíveis em texto claro. A transmissão de dados é realizada via HTTPS, garantindo que o corpo da requisição esteja cifrado em trânsito.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,947,59,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.90,"O código não transmite informações sensíveis em texto claro. A URL usada para criar o cliente Gitea é passada como um parâmetro de função, que pode ser uma variável ou constante definida no contexto do código. O uso de `http.Client` com a opção `InsecureSkipVerify: true` apenas desativa a verificação de certificado TLS, permitindo conexões inseguras, mas não envia dados em texto claro.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,959,114,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.06,"O código não envia dados sensíveis em texto claro. A função `startWebhookServer` configura um servidor HTTP que atende a requisições web, mas não há evidências de transmissão de informações sensíveis como credenciais ou tokens de autenticação em texto plano.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,846,77,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.54,"O código não envia dados sensíveis em uma chamada HTTP. A verificação de saúde do gRPC é realizada localmente, usando um loopback (localhost) para se conectar ao próprio servidor. Não há transmissão de dados sensíveis pela rede.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1683,70,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.08,"O código não envia dados sensíveis em uma chamada HTTP sem TLS. A flag `argocdRepoServerPlaintext` é usada para determinar se a conexão deve ser feita de forma segura (TLS) ou não, mas o código verifica essa flag e configura a conexão adequadamente. Se `argocdRepoServerPlaintext` for verdadeiro, o TLS será desabilitado; caso contrário, ele será habilitado. Portanto, se a flag estiver definida como falso (o que é o padrão), a conexão será segura e não haverá transmissão de dados em texto claro.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2383,157,0.00000000,N/A,,alerta
