ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),13.39,"O alerta indica que a cookie de sessão não tem o 'HttpOnly' flag definido, o que pode aumentar o risco de ataques XSS. No entanto, no contexto fornecido, a função `ServeHTTP` está lidando com a saída da sessão do usuário e removendo todas as cookies relacionadas à autenticação antes de redirecionar para uma URL de logout. Portanto, não há risco real de XSS nesse ponto específico do código.",1,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1001,121,0.00000000,N/A,
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.19,O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para configurar a solicitação de destino. O uso de `req.Header.Set(,2,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,455,65,0.00000000,N/A,
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.15,"O alerta é um FALSO POSITIVO porque o código está usando `ReverseProxy.Director` de forma correta para modificar a solicitação antes de encaminhá-la ao servidor de destino. A função `decorateDirector` é chamada para adicionar ou modificar cabeçalhos conforme necessário, e isso não remove headers adicionados pelo `Director`. O uso de `ModifyResponse` para manipular a resposta do servidor de destino é adequado neste contexto.",2,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,626,115,0.00000000,N/A,
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.62,"O código fornecido não configura explicitamente uma conexão gRPC insegura. A função `grpc.NewServer()` cria um servidor gRPC sem especificar credenciais, mas isso não significa que a conexão seja insegura. O alerta pode estar incorretamente identificando uma situação segura como potencialmente vulnerável.",2,fallback,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,438,90,0.00000000,N/A,
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.21,"O código fornecido não configura um servidor gRPC inseguro. Ele cria um servidor gRPC usando `grpc.NewServer()` sem especificar nenhuma credencial de segurança, o que é o comportamento padrão e não constitui uma vulnerabilidade. O alerta foi acionado por uma ferramenta que pode estar configurada para sinalizar a ausência de credenciais TLS em servidores gRPC, mas neste contexto específico, o código está criando um servidor seguro usando sockets Unix.",2,fallback,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,439,124,0.00000000,N/A,
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.50,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a insegurança é aceitável, como durante o desenvolvimento ou testes. O alerta foi acionado por uma ferramenta que considera qualquer desabilitação de verificação de certificados TLS/SSL como potencialmente perigosa, mas neste caso, a desativação ocorre apenas em um cenário controlado e não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,505,134,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.80,"O código desabilita a verificação de certificados TLS/SSL apenas quando o parâmetro 'insecure' é verdadeiro. Isso ocorre em um contexto específico onde a desativação da verificação de certificados é considerada aceitável, pois está sendo usada para fins de depuração ou em ambientes controlados e seguros. O alerta não indica uma vulnerabilidade real neste caso.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,517,104,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.66,"O alerta é um VERDADEIRO POSITIVO (VP) porque o código está iniciando um servidor HTTP sem usar TLS. A função `http.ListenAndServe` não fornece criptografia, o que expõe os dados transmitidos ao público. Deve ser substituído por `http.ListenAndServeTLS` para garantir a segurança dos dados em trânsito.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,399,98,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.46,"O alerta indica a utilização de um servidor HTTP sem TLS, o que é uma prática insegura. No entanto, no contexto fornecido, o código está configurado para usar um servidor gRPC em vez de um servidor HTTP. O servidor gRPC usa TLS por padrão, conforme indicado pela linha `grpc := server.CreateGRPC()`. Portanto, este alerta não constitui uma vulnerabilidade real neste código.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1235,108,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.64,"O alerta indica que o código está usando um servidor HTTP sem TLS, mas a linha em questão (linha 151) não é responsável por iniciar um servidor HTTP. Em vez disso, ela inicia um servidor de métricas usando `http.ListenAndServe`, que é configurado para usar TLS através da variável de ambiente `metricsPort`. Portanto, o alerta está incorretamente sinalizando uma vulnerabilidade em um código que não possui essa vulnerabilidade.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1936,116,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.05,"O alerta indica que o código está usando um servidor HTTP sem TLS, sugerindo a substituição de `http.ListenAndServe` por `http.ListenAndServeTLS`. No entanto, no contexto fornecido, há uma verificação explícita para desabilitar o TLS (`if !disableTLS { ... }`). Se `disableTLS` for verdadeiro, o código não iniciará um servidor HTTP sem TLS. Portanto, este alerta é um FALSO POSITIVO porque a condição de desativação do TLS garante que o servidor HTTP seja iniciado com segurança.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,3299,138,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.56,"O código verifica se a verificação de certificado TLS/SSL está desabilitada e, em caso afirmativo, usa `insecure.NewCredentials()` para ignorar a verificação. No entanto, o código também verifica se a configuração `DisableTLS` é verdadeira antes de usar essa opção. Se `DisableTLS` for falso, a verificação de certificado TLS/SSL será realizada corretamente. Portanto, este código não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,678,120,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.55,"O código não desabilita a verificação de TLS/SSL explicitamente. Em vez disso, ele usa uma variável booleana `insecureRedis` para controlar se a verificação de TLS deve ser ignorada. Se `insecureRedis` for verdadeiro, o campo `InsecureSkipVerify` do objeto `tls.Config` é definido como `true`. No entanto, isso não desabilita a verificação de TLS globalmente, apenas para conexões específicas onde `insecureRedis` for verdadeiro.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1867,128,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.17,"O código verifica se o certificado do servidor DEX corresponde ao esperado. Embora `InsecureSkipVerify` esteja definido como `true`, isso ocorre apenas quando a verificação estrita está desativada (`!tlsConfig.StrictValidation`). Isso significa que, em casos normais de operação, a verificação TLS é realizada corretamente. Portanto, esta configuração não constitui uma vulnerabilidade real.",27,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,454,110,0.00000000,N/A,
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.82,"O código desabilita a verificação de chave do host SSH usando `ssh.InsecureIgnoreHostKey()`, o que expõe o sistema ao ataque man-in-the-middle. A ferramenta Semgrep corretoamente alerta sobre isso, pois ignorar a verificação de chave do host é uma prática insegura.",1,fallback,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,884,86,0.00000000,N/A,
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.09,"O alerta é um FALSO POSITIVO porque o código não configura explicitamente a versão mínima do TLS. O cliente HTTP criado usa `tls.Config{InsecureSkipVerify: true}`, que desativa a verificação de SSL/TLS, mas não define uma versão mínima para TLS. Isso é comumente usado em ambientes de desenvolvimento ou testes onde a segurança SSL/TLS não é um requisito crítico. No entanto, o código não viola diretamente as diretrizes de segurança recomendadas para produção, que sugerem usar TLS 1.3 como padrão.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,596,149,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.98,"O alerta é um FALSO POSITIVO porque o código não configura explicitamente a versão mínima do TLS. O cliente HTTP criado usa `tls.Config{InsecureSkipVerify: true}`, que desativa a verificação de SSL/TLS, mas não define uma versão mínima específica do protocolo TLS. Portanto, não há vulnerabilidade real relacionada à falta de configuração da versão mínima do TLS.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,608,110,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.65,"O código fornecido não configura explicitamente a versão mínima do TLS. A função `getTLSConfigWithCACert` cria uma instância de `tls.Config`, mas não define o campo `MinVersion`. No entanto, conforme mencionado no alerta, como o Go 1.22 usa TLS 1.2 por padrão e as aplicações de propósito geral devem usar TLS 1.3 com todas as outras versões desabilitadas, a ausência explícita de `MinVersion` não constitui uma vulnerabilidade neste contexto.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,648,138,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#3,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.09,"O alerta indica que a versão mínima do TLS deve ser definida como TLS 1.3, mas o código fornecido não contém uma configuração explícita para `MinVersion`. No entanto, conforme mencionado no alerta, a versão padrão atualizada do Go (1.22) já usa TLS 1.2 como a versão mínima. Como o código não desativa outras versões de TLS e não há indicação de que o sistema precisa suportar clientes ou navegadores legados com versões inseguras, é improvável que haja uma vulnerabilidade real nesse contexto.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,769,153,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#4,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.59,"O alerta indica que a versão mínima do TLS não foi definida, o que é considerado uma boa prática de segurança. No entanto, no contexto fornecido, a configuração TLS parece estar correta e segura, já que ela usa `NextProtos: []string{",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,2047,80,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#5,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.42,"O alerta indica que a configuração TLS está faltando o valor `MinVersion`, mas o código não cria uma instância de `tls.Config` diretamente. Em vez disso, ele verifica se `redisUseTLS` é verdadeiro e então configura as opções de TLS dentro do bloco `if redisUseTLS`. Se `redisUseTLS` for falso, a variável `tlsConfig` permanecerá como `nil`, o que significa que não haverá uma configuração TLS aplicada. Portanto, este código não apresenta uma vulnerabilidade real relacionada à falta de configuração mínima da versão TLS.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,1958,155,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#6,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.52,"O alerta é um FALSO POSITIVO porque o código não configura explicitamente a versão mínima do TLS. A função `TLSConfig` retorna uma configuração de TLS que, por padrão, usa a versão mínima suportada pelo Go (TLS 1.2), conforme mencionado no alerta. O código não desativa outras versões do TLS ou define explicitamente `MinVersion: tls.VersionTLS13`, o que é necessário para atender ao recomendado no alerta.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,545,127,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#7,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.45,"O alerta indica que a versão mínima do TLS deve ser definida como TLS 1.3, mas o código fornecido não contém uma configuração explícita para `MinVersion`. No entanto, conforme mencionado no alerta, a versão padrão atualizada do Go (1.22) já usa TLS 1.2 como a versão mínima. Como o código não desativa outras versões de TLS e não há indicação de que o sistema precisa suportar clientes ou navegadores legados com versões inseguras, é improvável que essa ausência de configuração explícita para `MinVersion` seja uma vulnerabilidade real.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,920,164,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#8,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.20,"O alerta indica que a configuração TLS está faltando o valor `MinVersion`, o que é considerado uma boa prática de segurança. No entanto, no contexto fornecido, a função `TestTLS` não está configurando um servidor real para produção, mas sim realizando testes de conexão. A função desativa a verificação de certificado (`InsecureSkipVerify = true`) e realiza várias tentativas de conexão, incluindo uma com TLS e outra sem TLS. O objetivo é verificar se o servidor aceita conexões seguras ou não. Portanto, este código não representa uma vulnerabilidade real em um ambiente de produção.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,822,155,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#9,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.20,"O alerta indica que a versão mínima do TLS deve ser definida como TLS 1.3, mas o código fornecido não contém uma configuração explícita para `MinVersion`. No entanto, conforme mencionado no alerta, a versão padrão atualizada do Go (1.22) já usa TLS 1.2 como a versão mínima. Portanto, neste contexto específico, o código não constitui uma vulnerabilidade.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,662,118,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#10,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.83,"O alerta indica que a versão mínima do TLS deve ser definida como TLS 1.3, mas o código fornecido não contém uma configuração específica para a versão do TLS. No entanto, conforme mencionado no alerta, a versão padrão do Go 1.22 já usa TLS 1.2 como a mínima. Como o código não desativa outros protocolos TLS e não há indicação de necessidade de suporte a clientes legados que requerem versões mais antigas do TLS, este código não constitui uma vulnerabilidade.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,792,142,0.00000000,N/A,
18ce5c27:CWE-327:false_positive#11,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,baseline,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.51,"O código fornecido não configura explicitamente a versão mínima do TLS, mas isso não constitui uma vulnerabilidade. A função `TLSConfig` retorna um objeto `tls.Config` com apenas o campo `RootCAs` configurado. O alerta é sobre a ausência de `MinVersion`, que por padrão no Go 1.22 é TLS 1.2. Como o código não desativa outros protocolos e não habilita TLS 1.0, ele segue as recomendações de segurança para versões atuais do Go.",13,especifica,baseline:597fcfa9,a81b6f5ca3a4f70c2cdbca1436fd138ccc84976ee981aa1726e3dff9ae4e4311,503,136,0.00000000,N/A,
