ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.72,"O cookie em questão é usado para autenticação, mas não é um token de sessão. É um token CSRF double-submit que precisa ser lido pelo front-end para reenvio em um header. A ausência do atributo HttpOnly é intencional e correta neste contexto.",1,especifica,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1553,77,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.58,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas redefine o Host, o esquema da URL e remove alguns cabeçalhos específicos (Authorization e Cookie). Além disso, ele adiciona cabeçalhos definidos pelo usuário através do parâmetro 'headers', mas não há indicação de que esses cabeçalhos sejam usados para fins de autorização. Portanto, a remoção dos cabeçalhos hop-by-hop pelo cliente via Connection não alterará nenhuma decisão de segurança na origem.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1139,141,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.17,"O código não injeta cabeçalhos que a origem confia para decisão de segurança. Ele apenas ajusta o caminho da URL e configura uma resposta em caso de erro interno, sem alterar cabeçalhos hop-by-hop.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1310,69,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.08,"O servidor gRPC está configurado para escutar em um socket Unix local, não em uma interface de rede acessível externamente. Portanto, não há caminho de rede por onde um intermediário possa interceptar ou alterar as mensagens gRPC.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1002,71,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),3.74,"O servidor gRPC escuta em um socket Unix local, que não há caminho de rede para um intermediário. Portanto, este é um caso de FALSO POSITIVO.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1003,56,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.71,"O uso de InsecureSkipVerify: true é condicionado a um parâmetro booleano 'insecure' que deve ser definido explicitamente pelo usuário. Se 'insecure' for falso, o código não desativa a verificação do certificado TLS. Além disso, há uma tentativa de usar um cookie jar, mas isso não substitui a verificação do certificado.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1145,99,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.52,"O uso de InsecureSkipVerify: true é condicionado a uma flag 'insecure' que deve ser desligada por padrão em produção. Além disso, o código inclui um cookieJar e uma verificação personalizada do certificado através da função VerifyPeerCertificate, o que compensa a falta de autenticação do servidor.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1157,89,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.23,"O servidor HTTP está sendo iniciado sem TLS em uma porta exposta à rede (webhookAddr). Isso significa que qualquer pessoa na rede pode interceptar as comunicações, incluindo credenciais e dados sensíveis. De acordo com a CWE-319, é uma vulnerabilidade real.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,933,81,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),4.83,"O servidor HTTP é iniciado sem TLS em todas as interfaces (listenHost = ""0.0.0.0""). Rotas como /metrics e /healthz são expostas à rede, o que pode levar à transmissão de dados sensíveis em texto claro.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1769,75,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.20,"O servidor HTTP escuta apenas em loopback (""0.0.0.0:%d"") e atende rotas que não contêm dados sensíveis, como métricas de saúde. Não há exposição à rede externa.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2470,67,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.04,"O código não expõe dados sensíveis diretamente à rede. Ele configura um servidor HTTP que escuta em loopback (`listenHost` definido como `common.DefaultAddressRepoServer`, que é geralmente `127.0.0.1`) e serve apenas endpoints de saúde e métricas, sem exponer rotas sensíveis como login ou dados confidenciais.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,3833,100,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#24,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.40,"O código verifica a configuração de TLS corretamente. Se `tlsConfig.StrictValidation` for verdadeiro, o certificado é validado contra as autoridades de certificação especificadas em `tlsConfig.Certificates`. Caso contrário, se `tlsConfig.DisableTLS` for falso e `tlsConfig.StrictValidation` for falso, apenas a verificação de certificado é desligada. Isso não constitui uma vulnerabilidade porque há uma alternativa para a verificação de certificado.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1318,124,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#25,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.25,"O código verifica se a flag 'redis-insecure-skip-tls-verify' está ativada. Se estiver, ele configura 'InsecureSkipVerify: true'. No entanto, o código também verifica se uma CA certificadora foi especificada ('redis-ca-certificate'). Se uma CA certificadora for fornecida, a verificação do certificado é realizada corretamente. Portanto, esta configuração não constitui uma vulnerabilidade real.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2507,115,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#26,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.33,"O código verifica se a validação TLS é desabilitada apenas quando StrictValidation for falso. Se StrictValidation for verdadeiro, uma verificação de certificado personalizada é realizada, que inclui um pinning do certificado. Portanto, esta configuração não constitui uma vulnerabilidade em produção.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1094,82,0.00000000,N/A,,alerta
18ce5c27:CWE-322:false_positive,argoproj/argo-cd,CWE-322,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.14,"A entrada que chega à operação sensível (ignorância da verificação de chave do host SSH) é controlada pelo desenvolvedor através da variável `creds.insecure`. Esta variável não é uma entrada externa, pois é definida dentro da função e seu valor pode ser alterado apenas por código interno. Além disso, o caminho em que a fraqueza ocorre (ignorância da verificação de chave do host SSH) é inalcançável quando `creds.insecure` for falso, já que nesse caso uma verificação adequada será realizada.",1,fallback,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1453,144,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.37,"O código é uma configuração de cliente HTTP, não um servidor exposto à rede. Além disso, o módulo está compilado com Go >= 1.22, garantindo que a versão mínima do TLS seja TLS 1.2 por padrão.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1327,76,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#1,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.33,"O código é uma configuração de cliente HTTP, não um servidor exposto à rede. Além disso, o módulo está compilado com Go >= 1.22, garantindo que a versão mínima do TLS seja TLS 1.2 por padrão.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1339,76,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#2,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.77,"O código não é um VERDADEIRO POSITIVO porque a função getTLSConfigWithCACert é usada em um contexto de cliente, não como um servidor exposto à rede. Além disso, o módulo está compilado com Go >= 1.22, garantindo que o piso efetivo seja TLS 1.2 ou superior.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1379,94,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#3,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.40,"O código é uma configuração de cliente gRPC, não um servidor exposto à rede. A função NewConnection é usada para estabelecer conexões gRPC com servidores internos ou locais, e não há indicação de que ela seja exposta à internet. Além disso, a versão mínima do TLS é configurada dinamicamente com base nas opções fornecidas na estrutura TLSConfiguration, o que significa que se MinVersion for omitido, ele será definido como o padrão da biblioteca (TLS 1.2 para Go >= 1.22). Portanto, não há risco de negociação para baixo do protocolo desejado.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1500,165,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#4,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.97,"O código não é um VERDADEIRO POSITIVO porque a configuração TLS em 'server.go' está sendo usada para um servidor interno, não exposto à rede. Além disso, o módulo do Go usado é superior ou igual a 1.22, garantindo que o piso efetivo seja TLS 1.2 ou mais alto.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2778,97,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#5,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.16,"O código não é um VERDADEIRO POSITIVO porque a configuração TLS é feita de forma segura. O campo MinVersion está implícito na biblioteca padrão do Go, que já exige TLS 1.2 para clientes desde Go 1.18 e para servidores desde Go 1.22. Como o código não especifica uma versão mínima explícita, isso não constitui uma vulnerabilidade.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2689,112,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#6,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.57,"O código não é um VERDADEIRO POSITIVO porque a função TLSConfig está sendo usada em um contexto de cliente, não como um servidor exposto à rede. Além disso, o módulo exige Go >= 1.22, garantindo que o piso efetivo seja TLS 1.2 ou superior.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1276,89,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#7,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.91,"O código é uma configuração de cliente HTTP, não um servidor exposto à rede. A função GetRepoHTTPClient é usada para criar um cliente HTTP que pode ser usado localmente ou em ambientes de teste, e não há indicação de que este cliente seja exposto à internet. Além disso, o código usa a versão padrão do Go 1.22 ou posterior, que já exige TLS 1.2 como a versão mínima para clientes. Portanto, o alerta é um FALSO POSITIVO.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1651,133,0.00000000,N/A,,alerta
18ce5c27:CWE-327:false_positive#8,argoproj/argo-cd,CWE-327,FP,ollama:qwen2.5-coder:7b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.21,"O código é uma função de teste que configura um TLSConfig com InsecureSkipVerify definido como true. Isso significa que a conexão não está sendo estabelecida para fins de produção, mas sim para testes ou verificações de segurança. Como o alerta foi emitido em um contexto de teste e não em uma configuração de produção exposta à rede, ele é considerado um FALSO POSITIVO.",13,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1553,108,0.00000000,N/A,,alerta
