ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),19.03,"O código define cookies para remover tokens de autenticação. A ausência do atributo HttpOnly nesse caso é intencional, pois o objetivo é invalidar os tokens ao final da sessão.",1,especifica,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1461,51,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.91,"O Director apenas reescreve URL, host e esquema, e remove Authorization e Cookie. Não injeta cabeçalhos que a origem confia para decisões de segurança.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,982,49,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.39,"O Director apenas reescreve o caminho do URL (target.Path = baseHRef) e não injeta cabeçalhos que a origem confia para decisões de segurança. O problema CWE-115 ocorre quando cabeçalhos como X-Forwarded-For ou tokens internos são manipulados pelo cliente via Connection, o que não acontece neste caso.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1192,88,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.45,"O código cria um servidor gRPC interno para serviços específicos (VersionService, CommitService e HealthCheck). Não há indicação de que o servidor seja exportado para a rede pública ou acesse dados sensíveis. A ausência de `grpc.Creds` não é uma vulnerabilidade nesse contexto específico.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,798,76,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.65,"O servidor gRPC escuta em um socket Unix local (""path"") que é acessível apenas dentro do sistema. Não há comunicação de rede pública envolvida, tornando-o seguro contra ataques intermediários.",2,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,799,57,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.45,"O código define um httpClient com InsecureSkipVerify: true quando a flag 'insecure' é verdadeira. Isso permite conexões TLS sem verificar o certificado do servidor, expondo o tráfego a ataques de intermediários.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,966,60,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.37,"A função `NewGiteaProvider` permite a configuração de `InsecureSkipVerify: true` quando o parâmetro `insecure` é verdadeiro. Isso desabilita a verificação do certificado TLS, permitindo que um intermediário se faça passar pelo servidor e intercepte dados sensíveis como tokens de acesso.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,977,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.74,"O código utiliza http.ListenAndServe sem TLS em `webhookAddr`, expondo o tráfego de webhook (provavelmente sensível) a ataques man-in-the-middle.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,760,53,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),11.51,"O código utiliza http.ListenAndServe com o argumento `nil`, indicando que ele escuta em todas as interfaces (`0.0.0.0`) e qualquer porta especificada pelo usuário. Isso expõe o servidor a ataques de rede, permitindo que dados sensíveis como credenciais sejam transmitidos em texto claro.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1726,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),12.89,"O código utiliza http.ListenAndServe(""0.0.0.0:%d"", http.DefaultServeMux) para iniciar um servidor HTTP que expõe as métricas em texto plano, sem TLS. Isso significa que qualquer pessoa na rede pode acessar essas informações sensíveis.",27,regra,especialista_direto:f537598a,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2463,71,0.00000000,N/A,,alerta
