ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),20.94,"O código está limpando os cookies de autenticação ao final da requisição. A ausência do HttpOnly nesse caso é intencional, pois o objetivo é remover o cookie do lado do cliente.",1,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1595,54,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.63,"O alerta se refere a uma recomendação de estilo/melhor prática em relação à manipulação de headers, não a uma vulnerabilidade de segurança.  A ferramenta está identificando o uso de `ReverseProxy.Director` para modificar headers, sugerindo que `ReverseProxy.Rewrite` seria mais apropriado. No entanto, essa mudança não introduz automaticamente uma falha de segurança.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,952,91,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),10.61,"O alerta se refere a uma prática recomendada de reescrita de cabeçalhos, não a uma vulnerabilidade. O código usa `ReverseProxy.Director` para modificar o comportamento do proxy, mas isso não implica em remoção de cabeçalhos adicionados pelo Director. A mensagem do Semgrep sugere usar `ReverseProxy.Rewrite` como alternativa, que é mais adequada para reescrita de URLs e cabeçalhos.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1161,101,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.72,"O código cria um servidor gRPC sem configurar credenciais de segurança (grpc.Creds()). Isso permite conexões não criptografadas, tornando o tráfego vulnerável a interceptação e manipulação por atacantes.",2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,913,61,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.32,"O código cria um servidor gRPC sem credenciais de segurança (grpc.Creds() ou opções com credenciais). Isso permite conexões não criptografadas, tornando o tráfego vulnerável a interceptação e manipulação por atacantes.",2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,914,66,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.92,"O código habilita a verificação de certificados TLS como `false` através do parâmetro `InsecureSkipVerify: true`. Isso permite que o cliente se comunique com servidores sem certificação válida, tornando-o vulnerável a ataques de Man-in-the-Middle (MITM).",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,999,74,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.41,"O código habilita a verificação de certificados TLS como `false` através do parâmetro `InsecureSkipVerify: true`. Isso permite conexões com servidores que possuem certificados inválidos ou autoassinados, tornando o sistema vulnerável a ataques de mtm (man-in-the-middle).",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1010,75,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.06,"O código utiliza `http.ListenAndServe(webhookAddr, mux)`, que inicia um servidor HTTP sem TLS. Isso deixa as comunicações entre o servidor e os clientes expostas a interceptação e modificação de dados sensíveis.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,884,63,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.89,"O alerta indica a ausência de TLS em um servidor HTTP. No entanto, o código demonstra que o servidor utiliza `http.ListenAndServe` para iniciar o servidor de métricas, enquanto o servidor gRPC é iniciado com `grpc.Serve`. O alerta se aplica ao servidor HTTP, mas não ao servidor gRPC que usa TLS por padrão.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1849,85,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),13.12,"O alerta indica que o servidor HTTP está sem TLS, mas o código utiliza `http.ListenAndServe` para iniciar um servidor de métricas em uma porta específica. O código não configura um servidor web principal que lida com solicitações HTTP sensíveis.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2587,66,0.00000000,N/A,,alerta
