ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),21.57,"O código está limpando os cookies de autenticação ao final da função. A ausência do HttpOnly flag nesse contexto é intencional, pois o objetivo é remover o cookie do lado do cliente para garantir a segurança durante o logout.",1,especifica,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1642,61,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.92,"O Director apenas reescreve o Host, Scheme e URL da requisição, além de remover Authorization e Cookie. Não injeta cabeçalhos que a origem confia para decisões de segurança. A adição de headers personalizados via loop não configura um problema de remoção por Connection.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1114,72,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.88,"O código apenas reescreve o caminho do URL (`target.Path = baseHRef`) e não injeta cabeçalhos de confiança que possam ser removidos pelo cliente via Connection. A função `decorateDirector` é omitida, mas sem informações sobre seus efeitos, não há evidências de injeção de cabeçalhos sensíveis.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1323,86,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.37,"O código cria um servidor gRPC, mas não há evidências de que ele esteja ouvindo em uma interface de rede acessível. A função `CreateGRPC` retorna o servidor, mas não inicia a escuta ou define um endereço de escuta específico.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1002,67,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_v2,seguro,API_ERROR,N/A (Falha de Esteira),N/A,N/A (Falha de Esteira),8.30,"Geração interrompida antes de concluir (limite de saída num_predict=512, ou aborto do servidor): a resposta não chegou a fechar o JSON.",2,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,0,0,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),10.71,"A configuração InsecureSkipVerify é condicionada ao parâmetro `insecure` do método. Isso indica que a desabilitação da verificação de certificado TLS é intencional e controlada, provavelmente para fins de teste ou em ambientes específicos onde a segurança não é crítica. A ausência de contexto adicional sobre como o parâmetro `insecure` é utilizado sugere que essa configuração pode ser restrita a cenários controlados.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1114,100,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),9.58,"A configuração `InsecureSkipVerify: true` é habilitada condicionalmente pelo parâmetro `insecure`. Isso significa que a verificação de certificado TLS pode ser desativada em produção se o parâmetro for passado como verdadeiro.  Sem mais contexto sobre como esse parâmetro é usado, existe o risco de um intermediário se passar por um servidor legítimo e interceptar dados sensíveis.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1125,94,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.73,"O código utiliza `http.ListenAndServe` para iniciar um servidor HTTP na porta especificada por `webhookAddr`. Não há nenhuma indicação de TLS sendo utilizado, tornando as comunicações com o servidor vulneráveis a interceptação e exposições de dados sensíveis como informações de webhook.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,911,73,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),9.58,"O código utiliza `http.ListenAndServe` sem TLS para servir as rotas `/metrics`, indicando que dados como métricas podem ser transmitidos em texto claro, representando uma vulnerabilidade de segurança.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1876,55,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),14.78,"O código utiliza `http.ListenAndServe` sem TLS, expondo um servidor HTTP a qualquer endereço (`0.0.0.0`) na porta especificada por `metricsPort`. Isso significa que dados sensíveis como credenciais e informações de sessão podem ser transmitidos em texto claro, tornando o sistema vulnerável a ataques.",27,regra,especialista_v2:941936c5,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2614,82,0.00000000,N/A,,alerta
