ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),21.50,"O código verifica a presença de um token de autenticação em cookies. Se o token não estiver presente, ele retorna um erro HTTP 400 (Bad Request). Além disso, o código tenta invalidar o token usando uma função `revokeToken` antes de redirecionar para a URL de logout do ArgoCD ou para uma URL OIDC personalizada. Não há evidências de que o código seja vulnerável a ataques como injeção de SQL ou XSS.",1,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,966,107,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.80,O código remove as cabeçalhos 'Authorization' e 'Cookie' de um request antes de encaminhá-lo para o servidor alvo. Isso pode permitir ataques como a remoção de autenticação ou a exibição de informações confidenciais que seriam normalmente bloqueadas por esses cabeçalhos.,2,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,377,75,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.37,"O código implementa um tratamento de erro para status HTTP 500. Ele registra o erro, limpa o corpo da resposta e redireciona o usuário para uma página de login com um parâmetro indicando um erro SSO. Não há vulnerabilidades visíveis como injeção ou execução de código malicioso.",2,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,587,76,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.26,"O código não demonstra uma vulnerabilidade de segurança. Ele configura um servidor gRPC, registra serviços (VersionService, CommitService e HealthServer) e retorna o servidor. Não há uso de input do usuário sem validação ou sanitização que possa levar a injeções ou outros ataques comuns.",2,fallback,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,281,73,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),5.31,"O código remove um arquivo antes de criar um listener Unix. Se o usuário fornecer um caminho malicioso, como '/etc/passwd', este código pode ser explorado para sobrescrever arquivos críticos do sistema.",2,fallback,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,282,55,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.96,"O código permite a desabilitação da verificação de certificado SSL através do parâmetro `insecure`. Isso pode permitir ataques de man-in-the-middle, onde um atacante pode interceptar a comunicação entre o aplicativo e o servidor Gitea, roubando dados confidenciais como tokens de acesso e informações de repositório.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,406,83,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.41,"O código permite a desabilitação da verificação de certificado SSL através do parâmetro `insecure`. Isso pode permitir que um atacante intercepte a comunicação com o servidor Gitea, roubando dados confidenciais como tokens e informações de autenticação.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,417,67,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.30,"O código executa um servidor HTTP em segundo plano sem validação de entrada para o endereço webhook. Um atacante poderia fornecer um endereço malicioso, como 'http://localhost:8080/evil', que poderia ser usado para executar código arbitrário no sistema.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,288,69,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),9.65,"O código não apresenta vulnerabilidades de segurança conhecidas. Ele utiliza flags para configurar o endereço e a porta de escuta, define um servidor de métricas separado e implementa um mecanismo de shutdown gracefull. Não há uso de input não sanitizado ou lógica que permita ataques como SQL injection ou cross-site scripting.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1254,78,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,baseline_direto,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.19,"O código não apresenta vulnerabilidades de segurança aparentes. Ele utiliza flags para configurar parâmetros como o servidor Argo CD, porta de métricas e nível de log, mas não exibe ou processa dados sensíveis do usuário de forma insegura.",27,especifica,baseline_direto:1ac39caf,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1991,66,0.00000000,N/A,,alerta
