ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),18.67,O código está limpando os cookies de autenticação ao fazer logout. A ausência do HttpOnly nesse contexto é intencional para remover o cookie do lado do cliente.,1,especifica,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1591,48,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.93,"O Director apenas reescreve o Host, Scheme e URL. Não injeta cabeçalhos de confiança como identidade do usuário ou tokens internos que poderiam ser removidos pelo cliente via Connection para alterar a segurança.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1063,58,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.62,"O Director apenas reescreve o URL do destino (target.Path) e não injeta cabeçalhos de confiança que possam ser removidos pelo cliente via Connection, portanto não constitui uma vulnerabilidade.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1272,57,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.38,"O código cria um servidor gRPC interno para uso dentro do sistema ArgoCD. Não há indicação de que o servidor seja acessível externamente, tornando improvável a exploração por meio de uma conexão insegura.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,951,59,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),8.09,"O servidor gRPC é configurado para ouvir em um socket Unix local (""path"") definido no método Start. Sockets Unix são usados para comunicação entre processos dentro de uma mesma máquina, não através da rede pública. Portanto, o alerta é falso positivo pois não há risco de um atacante externo interceptar as comunicações.",2,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,952,80,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),10.43,"A verificação TLS é desabilitada apenas se a flag `insecure` for verdadeira. Isso indica que a configuração é intencionalmente controlada pelo usuário, provavelmente para fins de teste ou em ambientes específicos onde a validação do certificado não é crítica. A ausência de contexto adicional sugere que o uso de `InsecureSkipVerify` é controlado e não representa uma vulnerabilidade em produção.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1063,94,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.22,"A configuração InsecureSkipVerify é condicionada ao parâmetro `insecure` passado para a função, que indica um comportamento específico de teste ou desenvolvimento. A verificação de certificado TLS não é desativada por padrão.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1074,59,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.60,"O código utiliza `http.ListenAndServe` sem TLS para iniciar um servidor em `webhookAddr`.  A documentação do Go recomenda fortemente o uso de `http.ListenAndServeTLS` para proteger dados sensíveis, como os que provavelmente são transmitidos por uma API de webhook.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,860,73,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),10.59,"O código utiliza `http.ListenAndServe` sem TLS para servir as métricas do servidor, expondo dados sensíveis como informações de uso e desempenho em texto claro. A ausência de TLS torna esses dados vulneráveis a interceptação por atacantes.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1825,68,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),16.91,"O servidor HTTP está configurado para escutar apenas em '0.0.0.0' na porta especificada por `metricsPort`. Isso indica que o servidor é acessível à rede, mas a documentação do projeto menciona explicitamente que o TLS é usado para comunicação com o servidor de repositório Argo CD. Além disso, o código demonstra a utilização de configurações de TLS para a conexão com o servidor de repositório.",27,regra,especialista:d1145f8b,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2563,104,0.00000000,N/A,,alerta
