ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas,Procedencia
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),20.90,"O código não define cookies diretamente. Ele apenas itera sobre os cookies existentes no request e cria um novo cookie com valor vazio para o mesmo nome, sobrescrevendo o antigo. Não há definição de cookies sensíveis sem HttpOnly.",1,especifica,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1512,61,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.32,"O Director apenas reescreve URL, host e esquema, e remove Authorization e Cookie. Não injeta cabeçalhos que a origem confia para decisões de segurança.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1033,49,0.00000000,N/A,,alerta
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),11.44,"O código apenas reescreve o caminho do URL (`target.Path = baseHRef`) e não injeta cabeçalhos que a origem confia para decisões de segurança. O problema CWE-115 ocorre quando um cliente pode remover cabeçalhos hop-by-hop adicionados pelo Director, como os relacionados à autenticação ou permissões. Neste caso, o Director apenas altera o caminho da URL e não manipula cabeçalhos sensíveis.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1243,108,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),8.27,"O código cria um servidor gRPC usando `grpc.NewServer()` sem especificar credenciais (grpc.Creds). Isso significa que a comunicação não é criptografada com TLS, tornando as mensagens vulneráveis a interceptação e modificação por atacantes no caminho da rede.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,849,73,0.00000000,N/A,,alerta
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.52,"O servidor gRPC utiliza `net.Listen(""unix"", path)`, que cria um socket Unix local. Sockets Unix não são acessíveis por redes externas, tornando o canal seguro contra intermediários.",2,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,850,55,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.88,"O código habilita `InsecureSkipVerify: true` no `tls.Config` quando a flag `insecure` é verdadeira. Isso permite conexões TLS sem verificar o certificado do servidor, tornando possível um ataque de intermediário.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1017,62,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),7.24,"O código define um httpClient com InsecureSkipVerify: true quando a flag 'insecure' é verdadeira. Isso permite conexões TLS sem verificar o certificado do servidor, expondo as comunicações a ataques de intermediário.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1028,59,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),6.94,"O código utiliza http.ListenAndServe sem TLS em `webhookAddr`, expondo o tráfego de webhook (potencialmente sensível) a ataques man-in-the-middle.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,811,54,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),10.60,"O código utiliza http.ListenAndServe com `fmt.Sprintf(""%s:%d"", listenHost, listenPort)`, expondo o servidor para a rede sem TLS. Qualquer dado enviado para este servidor, incluindo credenciais e cookies de sessão, será transmitido em texto claro.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,1777,72,0.00000000,N/A,,alerta
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:gemma2:9b,especialista_direto_v2,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),VP,Falso Positivo (Ruído Mantido),12.83,"O código utiliza http.ListenAndServe com '0.0.0.0' para escutar em todas as interfaces de rede, sem TLS. Isso expõe dados sensíveis como credenciais e cookies de sessão a ataques.",27,regra,especialista_direto_v2:87912616,3d2bc71df131c6c51c4e0e2db5938885d23a4ee76b259c693594e7c77b733cae,2514,62,0.00000000,N/A,,alerta
