ID_Caso,Repositorio,CWE,Origem,Modelo_LLM,Tipo_Prompt,Gabarito,Status_Semgrep,Classificacao_Semgrep,Veredito_LLM,Classificacao_LLM,Tempo_Execucao_s,Justificativa,Num_Locations,Ficha_CWE,Versao_Prompt,Hash_Catalogo,Tokens_Entrada,Tokens_Saida,Custo_USD,Motivo_Nao_Deteccao,Regras_Nao_Casadas
18ce5c27:CWE-1004:false_positive,argoproj/argo-cd,CWE-1004,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.30,"O cookie em questão é um token de autenticação que precisa ser lido pelo front-end para permitir a continuidade da sessão após o logout. Como este token não contém informações sensíveis que possam ser roubadas por meio de XSS, a ausência do atributo HttpOnly é intencional e correta.",1,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1500,87,0.00000000,N/A,
18ce5c27:CWE-115:false_positive,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.44,"O código não apresenta uma vulnerabilidade devido à interpretação incorreta de entrada. A função `Director` do `httputil.ReverseProxy` está sendo usada corretamente para reescrever a solicitação HTTP, removendo cabeçalhos específicos e adicionando novos cabeçalhos conforme necessário. Não há evidências de que esta abordagem esteja causando uma interpretação incorreta de entrada.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,981,111,0.00000000,N/A,
18ce5c27:CWE-115:false_positive#1,argoproj/argo-cd,CWE-115,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.60,"O alerta é um FALSO POSITIVO porque a chamada para `proxy.Director` não está sendo usada de forma que possa levar à interpretação incorreta de entrada. A função `decorateDirector` é aplicada ao diretório, mas não há evidências de que isso cause uma reinterpretação inadequada da entrada.",2,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1152,92,0.00000000,N/A,
18ce5c27:CWE-300:false_positive,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.45,"A entrada para o gRPC server não é controlada pelo usuário externo. O servidor gRPC é configurado dentro do próprio código, sem receber dados de entrada externa que possam ser manipulados por um agente externo. Além disso, a função 'CreateGRPC' não possui qualquer chamada que possa levar à criação de uma conexão insegura. Portanto, este alerta é considerado um FALSO POSITIVO.",2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,944,115,0.00000000,N/A,
18ce5c27:CWE-300:false_positive#1,argoproj/argo-cd,CWE-300,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.23,A entrada para o gRPC server não é controlada pelo usuário externo. Ela é determinada pela função `net.Listen(,2,fallback,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,945,126,0.00000000,N/A,
18ce5c27:CWE-319:false_positive,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),6.36,"O código configura um cliente HTTP que desabilita a verificação de certificados TLS (`InsecureSkipVerify: true`). No entanto, isso é feito apenas quando o parâmetro `insecure` é verdadeiro. Isso sugere que esta configuração é usada para fins de depuração ou em ambientes controlados onde a segurança não é uma prioridade crítica. O uso desta configuração em um contexto específico (por exemplo, em um ambiente de desenvolvimento ou teste) e com o reconhecimento explícito do risco associado pode ser considerado aceitável, desde que seja monitorado e revisado regularmente.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1015,155,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#1,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.35,"O código configura um cliente HTTP com a opção `InsecureSkipVerify` definida como `true`, o que desativa a verificação de certificados TLS/SSL. No entanto, isso é feito apenas quando o parâmetro `insecure` é verdadeiro, indicando que este comportamento deve ser usado apenas para fins de depuração e não em produção. A função também permite que um URL seguro (`https://`) seja passado como argumento, garantindo que a transmissão dos dados seja segura quando necessário.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1027,130,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#2,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.11,"O código não envia dados sensíveis em texto claro. A função `http.ListenAndServe` é usada para iniciar um servidor HTTP, mas não há evidências de que os dados transmitidos pelo servidor sejam sensíveis ou que a comunicação esteja ocorrendo em texto claro.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,909,76,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#3,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),4.27,"O código não envia dados sensíveis em uma chamada HTTP. Ele apenas escuta por conexões TCP na porta especificada, sem realizar qualquer transmissão de dados via rede.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,1745,54,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#4,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),5.41,O alerta é um FALSO POSITIVO porque a chamada `http.ListenAndServe` não está sendo usada para transmitir dados sensíveis. A função `NewCommand` configura um servidor HTTP que serve métricas e não envia dados sensíveis em texto claro.,27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,2446,76,0.00000000,N/A,
18ce5c27:CWE-319:false_positive#5,argoproj/argo-cd,CWE-319,FP,ollama:qwen2.5-coder:7b,especialista,seguro,DETECTADO,Semgrep FP (ruído sobre código seguro),FP,Verdadeiro Negativo (Acerto),7.08,"O código não está configurado para iniciar um servidor HTTP sem TLS. A variável `disableTLS` é usada para controlar se o TLS deve ser desabilitado, mas ela é inicializada como `false` e não há nenhum caminho no código que permita a execução de `http.ListenAndServe` sem TLS. Portanto, este alerta é um FALSO POSITIVO.",27,especifica,especialista:d1145f8b,e5db7d4008428a0f31404645380ad28c7a95255185e4e0cfb6a37ebac56c2676,3809,101,0.00000000,N/A,
